,,,,,,,Total,,,,Short,,,Medium,,,Long,,
209,John Guidetti,se SWE,FW,Alavés,7,103,156,66,1263,286,60,81,74.1,26,43,60.5,5,10,50
210,Gerard Gumbau,es ESP,MF,Leganés,13.3,320,450,71.1,5959,1712,143,166,86.1,131,168,78,42,94,44.7
211,Serdar Gürler,tr TUR,"MF,FW",Huesca,5.4,105,170,61.8,1394,389,75,98,76.5,16,35,45.7,7,12,58.3
212,Gorka Guruzeta,es ESP,"MF,FW",Athletic Club,0.6,7,9,77.8,76,22,3,4,75,2,2,100,0,0,
213,Hacen,mr MTN,MF,Valladolid,0,0,2,0,0,0,0,1,0,0,1,0,0,0,
214,Munir El Haddadi,ma MAR,FW,Barcelona,1.7,48,62,77.4,531,109,36,40,90,7,14,50,1,2,50
215,Munir El Haddadi,ma MAR,"FW,MF",Sevilla,11.6,243,347,70,3013,644,152,188,80.9,62,87,71.3,4,20,20
216,Uche Henry Agbo,ng NGA,MF,Rayo Vallecano,4.1,184,202,91.1,2899,790,102,106,96.2,62,68,91.2,15,18,83.3
217,Mario Hermoso,es ESP,DF,Espanyol,31.2,1355,1625,83.4,29066,10469,424,465,91.2,669,760,88,245,353,69.4
218,Lucas Hernández,fr FRA,DF,Atlético Madrid,12.4,448,557,80.4,7150,2600,221,246,89.8,173,205,84.4,32,67,47.8
219,Theo Hernández,fr FRA,DF,Real Sociedad,22,937,1167,80.3,13917,4109,541,606,89.3,333,398,83.7,38,88,43.2
220,Yangel Herrera,ve VEN,"MF,DF",Huesca,12.8,352,474,74.3,5257,1964,204,247,82.6,106,138,76.8,25,55,45.5
221,Iago Herrerín,es ESP,GK,Athletic Club,31,552,983,56.2,24212,21211,33,34,97.1,139,142,97.9,379,798,47.5
222,Pablo Hervías,es ESP,MF,Valladolid,1.8,49,65,75.4,849,165,15,18,83.3,22,30,73.3,7,10,70
223,Pablo Hervías,es ESP,MF,Eibar,2,45,80,56.3,659,186,27,33,81.8,10,16,62.5,5,23,21.7
224,Andrew Hjulsager,dk DEN,"MF,FW",Celta Vigo,4,95,137,69.3,1510,617,51,60,85,32,43,74.4,8,22,36.4
225,Wesley Hoedt,nl NED,DF,Celta Vigo,9.9,417,497,83.9,9067,3222,117,132,88.6,230,246,93.5,66,99,66.7
226,Robert Ibáñez,es ESP,MF,Getafe,0.8,17,19,89.5,194,26,12,13,92.3,4,4,100,0,1,0
227,Vicente Iborra,es ESP,MF,Villarreal,18.5,637,796,80,10504,2790,325,391,83.1,228,277,82.3,63,79,79.7
228,Borja Iglesias,es ESP,FW,Espanyol,34.2,477,688,69.3,6574,925,294,385,76.4,129,181,71.3,24,39,61.5
229,Asier Illarramendi,es ESP,MF,Real Sociedad,20.2,1060,1267,83.7,19327,6015,429,480,89.4,483,548,88.1,120,180,66.7
230,Giannelli Imbula,cd COD,MF,Rayo Vallecano,19.2,654,732,89.3,11027,3016,337,358,94.1,239,257,93,59,83,71.1
231,Pablo Insua,es ESP,DF,Huesca,8.6,192,246,78,4187,1458,42,58,72.4,114,132,86.4,32,48,66.7
232,Takashi Inui,jp JPN,"MF,FW",Alavés,9.2,187,261,71.6,2778,688,102,121,84.3,69,97,71.1,11,26,42.3
233,Takashi Inui,jp JPN,MF,Betis,4.2,105,131,80.2,1453,286,63,71,88.7,27,31,87.1,8,11,72.7
234,Gorka Iraizoz,es ESP,GK,Girona,6.2,156,231,67.5,5094,3857,10,10,100,67,70,95.7,79,151,52.3
235,Carlos Isaac,es ESP,DF,Atlético Madrid,1,44,54,81.5,577,113,30,32,93.8,10,16,62.5,2,3,66.7
236,Isco,es ESP,"MF,FW",Real Madrid,13.2,834,982,84.9,12886,3190,487,523,93.1,262,306,85.6,59,90,65.6
237,Manuel Iturra,cl CHI,MF,Villarreal,0.8,45,54,83.3,849,262,20,22,90.9,21,24,87.5,4,6,66.7
238,Ander Iturraspe,es ESP,MF,Athletic Club,1.1,71,80,88.8,1190,385,30,33,90.9,36,40,90,2,4,50
239,Ivi,es ESP,"MF,FW",Valladolid,0.2,10,15,66.7,109,19,8,10,80,2,2,100,0,2,0
240,Adnan Januzaj,be BEL,"FW,MF",Real Sociedad,13.9,369,557,66.2,6946,2270,191,214,89.3,91,134,67.9,68,153,44.4
241,Jason,es ESP,"DF,FW",Levante,25.9,559,837,66.8,8956,3477,280,342,81.9,191,269,71,51,126,40.5
242,Mathias Jensen,dk DEN,"MF,FW",Celta Vigo,2.6,61,81,75.3,803,185,44,52,84.6,14,19,73.7,2,8,25
243,Jesé,es ESP,"FW,MF",Betis,8.7,146,196,74.5,1980,267,90,119,75.6,37,44,84.1,7,10,70
244,Joaquín,es ESP,"FW,MF",Betis,18.8,779,976,79.8,11616,2962,441,493,89.5,249,305,81.6,48,97,49.5
245,Jony,es ESP,"MF,FW",Alavés,33,657,1192,55.1,13032,5515,283,373,75.9,215,342,62.9,140,387,36.2
246,Joan Jordán,es ESP,MF,Eibar,31.9,1473,1875,78.6,30052,7181,563,649,86.7,587,704,83.4,282,420,67.1
247,Willian José,br BRA,FW,Real Sociedad,26.3,569,775,73.4,9810,1574,294,357,82.4,167,223,74.9,80,117,68.4
248,Aleksandar Jovanovi?,rs SRB,GK,Huesca,12,158,334,47.3,6179,5269,15,16,93.8,48,50,96,95,266,35.7
249,Jozabed,es ESP,MF,Celta Vigo,12.8,597,716,83.4,11619,3291,232,264,87.9,251,279,90,101,134,75.4
250,Miguel Juan Llambrich,es ESP,"DF,FW",Villarreal,6,169,236,71.6,2828,1112,81,97,83.5,78,97,80.4,8,32,25
251,Juanfran,es ESP,"DF,FW",Leganés,16.2,433,660,65.6,7734,3605,222,252,88.1,141,228,61.8,64,145,44.1
252,Juanfran,es ESP,DF,Atlético Madrid,17.9,774,973,79.5,10659,3909,497,550,90.4,200,266,75.2,43,79,54.4
253,Juanmi,es ESP,"FW,MF",Real Sociedad,16.9,295,373,79.1,4083,716,182,212,85.8,81,102,79.4,13,21,61.9
254,Juanpe,es ESP,DF,Girona,30.7,1277,1579,80.9,26167,10792,385,434,88.7,708,798,88.7,176,309,57
255,Juanpi,ve VEN,"MF,FW",Huesca,7.4,169,235,71.9,2681,808,84,100,84,52,73,71.2,18,38,47.4
256,David Juncà,es ESP,DF,Celta Vigo,19.5,831,1053,78.9,13505,4946,424,468,90.6,322,401,80.3,61,133,45.9
257,Vinicius Júnior,br BRA,"FW,MF",Real Madrid,9.7,224,309,72.5,3257,586,147,180,81.7,62,88,70.5,11,17,64.7
258,Gaël Kakuta,cd COD,"MF,FW",Rayo Vallecano,8,188,277,67.9,2796,985,115,143,80.4,54,85,63.5,11,32,34.4
259,Nikola Kalini?,hr CRO,FW,Atlético Madrid,7.1,61,108,56.5,635,97,44,71,62,4,12,33.3,1,1,100
260,Lee Kangin,kr KOR,"MF,FW",Valencia,0.3,12,19,63.2,192,56,6,7,85.7,4,7,57.1,1,3,33.3
261,Wilfrid Kaptoum,cm CMR,MF,Betis,8.6,279,326,85.6,3879,832,167,180,92.8,89,101,88.1,9,16,56.3
262,Keko,es ESP,"MF,FW",Valladolid,17,340,537,63.3,5919,1561,179,230,77.8,103,148,69.6,40,98,40.8
263,Kike,es ESP,FW,Eibar,14.4,278,407,68.3,3470,615,169,214,79,67,105,63.8,13,27,48.1
264,Simon Kjær,dk DEN,DF,Sevilla,22.3,777,910,85.4,15448,6439,261,276,94.6,403,435,92.6,100,172,58.1
265,Kenan Kodro,ba BIH,"FW,MF",Athletic Club,1.8,37,47,78.7,426,50,22,25,88,6,9,66.7,1,1,100
266,Koke,es ESP,MF,Atlético Madrid,28.7,1715,2081,82.4,25958,7698,915,982,93.2,517,617,83.8,153,296,51.7
267,Geoffrey Kondogbia,cf CTA,MF,Valencia,13.8,628,746,84.2,12446,3392,248,284,87.3,264,293,90.1,101,132,76.5
268,Vasyl Kravets,ua UKR,"DF,FW",Leganés,5.3,160,228,70.2,2700,921,83,96,86.5,62,85,72.9,13,37,35.1
269,Toni Kroos,de GER,MF,Real Madrid,24.7,1980,2229,88.8,37939,10912,887,931,95.3,726,789,92,330,432,76.4
270,Víctor Laguardia,es ESP,DF,Alavés,36,896,1279,70.1,20270,9717,251,312,80.4,456,554,82.3,182,382,47.6
271,Diego Lainez,mx MEX,"FW,MF",Betis,3.9,109,131,83.2,1203,206,68,70,97.1,22,28,78.6,1,6,16.7
272,Toni Lato,es ESP,DF,Valencia,3,140,175,80,2301,954,72,80,90,54,64,84.4,12,23,52.2
273,Miguel Layún,mx MEX,"MF,DF",Villarreal,5.6,193,279,69.2,3340,1015,100,118,84.7,63,87,72.4,24,60,40
274,Robin Le Normand,fr FRA,DF,Real Sociedad,3.2,194,221,87.8,4060,1176,47,49,95.9,111,120,92.5,30,41,73.2
275,Wu Lei,cn CHN,"FW,MF",Espanyol,11.8,151,212,71.2,1757,465,102,124,82.3,27,40,67.5,5,10,50
276,Iñigo Lekue,es ESP,DF,Athletic Club,2.3,90,118,76.3,1454,644,47,53,88.7,33,42,78.6,7,16,43.8
277,Thomas Lemar,fr FRA,MF,Atlético Madrid,20.2,825,1020,80.9,11702,3077,486,540,90,220,275,80,55,99,55.6
278,Clément Lenglet,fr FRA,DF,Barcelona,21.5,1024,1147,89.3,19010,7939,407,422,96.4,481,516,93.2,120,172,69.8
279,Pedro León,es ESP,"MF,FW",Eibar,4.7,84,166,50.6,1471,566,42,62,67.7,27,50,54,13,36,36.1
280,Sergio León,es ESP,"FW,MF",Betis,7.1,79,104,76,1047,109,47,54,87,22,28,78.6,3,6,50
281,Diego Llorente,es ESP,DF,Real Sociedad,19.5,935,1110,84.2,20043,6276,240,267,89.9,552,605,91.2,141,215,65.6
282,Marcos Llorente,es ESP,MF,Real Madrid,6,350,379,92.3,7106,1489,128,139,92.1,161,164,98.2,59,64,92.2
283,Giovani Lo Celso,ar ARG,"MF,FW",Betis,26.6,1194,1461,81.7,18078,4211,632,713,88.6,425,487,87.3,66,106,62.3
284,Stanislav Lobotka,sk SVK,MF,Celta Vigo,27.7,1257,1418,88.6,20195,5158,648,712,91,473,511,92.6,100,128,78.1
285,Samuele Longo,it ITA,FW,Huesca,6.2,52,83,62.7,637,179,33,45,73.3,11,22,50,2,4,50
286,Alejandro López,es ESP,MF,Espanyol,1.2,69,77,89.6,1293,236,26,28,92.9,30,33,90.9,11,12,91.7
287,David López,es ESP,DF,Espanyol,20.2,1070,1213,88.2,21115,8037,360,402,89.6,549,589,93.2,147,201,73.1
288,Diego López,es ESP,GK,Espanyol,38,835,1205,69.3,25991,19055,94,94,100,403,411,98.1,336,694,48.4
289,Javi López,es ESP,DF,Espanyol,21.6,848,1112,76.3,13724,4920,427,473,90.3,355,455,78,53,121,43.8
290,Lluis López,es ESP,DF,Espanyol,5.8,198,245,80.8,3747,1582,74,86,86,97,113,85.8,23,41,56.1
291,Pedro López Muñoz,es ESP,DF,Levante,5.2,191,234,81.6,3151,1259,102,108,94.4,67,81,82.7,18,34,52.9
292,Pau López,es ESP,GK,Betis,33,1015,1248,81.3,24142,16867,234,236,99.2,537,548,98,243,457,53.2
293,Roberto López,es ESP,MF,Real Sociedad,0.3,1,3,33.3,6,0,1,1,100,0,2,0,0,0,
294,Unai López,es ESP,MF,Athletic Club,3.6,218,257,84.8,4080,911,93,101,92.1,94,102,92.2,26,42,61.9
295,Anthony Lozano,hn HON,"FW,MF",Girona,8.1,122,190,64.2,1500,374,76,99,76.8,27,44,61.4,5,19,26.3
296,Filipe Luís,br BRA,DF,Atlético Madrid,22.6,1254,1537,81.6,18297,6454,720,776,92.8,406,500,81.2,68,160,42.5
297,José Luis Gayà,es ESP,DF,Valencia,34.9,1437,1816,79.1,23651,8165,735,817,90,567,694,81.7,114,217,52.5
298,José Luis Morales,es ESP,"FW,MF",Levante,35.5,528,799,66.1,7840,2236,312,378,82.5,142,204,69.6,44,101,43.6
299,Luisinho,pt POR,DF,Huesca,5.6,206,246,83.7,3264,1059,111,116,95.7,82,98,83.7,10,24,41.7
300,Douglas Luiz,br BRA,MF,Girona,16.6,619,746,83,12097,3567,246,274,89.8,260,301,86.4,99,143,69.2
301,Antonio Luna,es ESP,"DF,FW",Levante,14,462,651,71,7490,2889,236,264,89.4,190,264,72,27,92,29.3
302,Andriy Lunin,ua UKR,GK,Leganés,4.1,82,124,66.1,3059,2362,6,7,85.7,28,28,100,48,89,53.9
303,Nemanja Maksimovi?,rs SRB,MF,Getafe,35.7,581,779,74.6,8549,2302,290,365,79.5,190,248,76.6,39,72,54.2
304,Malcom,br BRA,"FW,MF",Barcelona,6.8,274,329,83.3,3602,634,188,201,93.5,71,98,72.4,6,10,60
305,Hugo Mallo,es ESP,DF,Celta Vigo,34.4,1426,1997,71.4,22809,8871,750,846,88.7,513,713,71.9,116,307,37.8
306,Aïssa Mandi,dz ALG,DF,Betis,34,2407,2616,92,42318,15490,1064,1127,94.4,1072,1143,93.8,215,256,84
307,Martín Mantovani,ar ARG,DF,Huesca,7.8,180,226,79.6,3128,1247,80,86,93,81,104,77.9,14,25,56
308,Fran Manzanara,es ESP,"DF,MF",Levante,1.7,60,68,88.2,1036,276,26,30,86.7,28,30,93.3,4,5,80
309,Marcelo,br BRA,DF,Real Madrid,20.6,1267,1560,81.2,19926,7061,722,786,91.9,408,489,83.4,101,201,50.2
310,Óscar de Marcos,es ESP,"DF,FW",Athletic Club,26.9,1029,1349,76.3,15936,5713,547,631,86.7,382,484,78.9,60,133,45.1
311,Miguel Marí,es ESP,MF,Eibar,0.8,36,40,90,647,106,18,19,94.7,11,13,84.6,7,7,100
312,José María Giménez,uy URU,DF,Atlético Madrid,19.7,585,734,79.7,12538,4916,191,211,90.5,266,305,87.2,121,200,60.5
313,Mariano,do DOM,FW,Real Madrid,5,69,92,75,969,162,49,61,80.3,16,22,72.7,2,2,100
314,Adrián Marín,es ESP,"DF,MF",Alavés,3.2,77,116,66.4,1121,693,43,44,97.7,27,47,57.4,4,18,22.2
315,Guillermo Maripán,cl CHI,DF,Alavés,22.3,533,709,75.2,12091,5470,150,182,82.4,256,293,87.4,121,209,57.9
316,Roger Martí,es ESP,FW,Levante,21,243,367,66.2,3411,602,125,158,79.1,64,103,62.1,19,34,55.9
317,Iñigo Martínez,es ESP,DF,Athletic Club,32.2,1138,1472,77.3,25411,9411,366,410,89.3,531,614,86.5,230,411,56
318,Gelson Martins,pt POR,"FW,MF",Atlético Madrid,2.5,49,67,73.1,608,190,37,44,84.1,7,8,87.5,3,6,50
319,Jordi Masip,es ESP,GK,Valladolid,35,602,1158,52,22388,19028,45,45,100,232,236,98.3,324,866,37.4
320,Jaime Mata,es ESP,"FW,MF",Getafe,27,413,708,58.3,6275,1324,227,337,67.4,126,197,64,32,71,45.1
321,Borja Mayoral,es ESP,FW,Levante,18,318,398,79.9,4447,883,178,209,85.2,95,109,87.2,17,24,70.8
322,Róbert Mazá?,sk SVK,DF,Celta Vigo,1,44,54,81.5,674,225,27,30,90,15,17,88.2,2,6,33.3
323,Álvaro Medrán,es ESP,MF,Rayo Vallecano,12.8,623,789,79,11239,3692,278,312,89.1,227,264,86,85,152,55.9
324,Óscar Melendo,es ESP,"MF,FW",Espanyol,22.2,746,889,83.9,11225,2730,389,435,89.4,266,304,87.5,52,73,71.2
325,Gonzalo Melero,es ESP,MF,Huesca,14.9,619,723,85.6,9552,2629,331,370,89.5,208,240,86.7,47,59,79.7
326,Arthur Melo,br BRA,MF,Barcelona,15.9,1200,1292,92.9,19847,4830,581,612,94.9,468,496,94.4,107,119,89.9
327,Brais Méndez,es ESP,"MF,FW",Celta Vigo,26.1,919,1249,73.6,14272,4225,477,546,87.4,300,393,76.3,79,182,43.4
328,Gabriel Mercado,ar ARG,DF,Sevilla,19.3,640,785,81.5,11445,4330,265,291,91.1,308,346,89,52,111,46.8
329,Mikel Merino,es ESP,MF,Real Sociedad,22.8,873,1110,78.6,15160,4569,403,479,84.1,349,426,81.9,94,143,65.7
330,Sabin Merino,es ESP,"FW,MF",Leganés,3.3,67,90,74.4,832,174,48,57,84.2,14,22,63.6,3,5,60
331,Martín Merquelanz,es ESP,MF,Real Sociedad,0.1,0,0,,0,0,0,0,,0,0,,0,0,
332,Roque Mesa,es ESP,MF,Sevilla,19.4,817,961,85,13287,3520,434,468,92.7,274,307,89.3,76,112,67.9
333,Lionel Messi,ar ARG,FW,Barcelona,30.1,1504,1936,77.7,24346,8450,839,948,88.5,453,598,75.8,155,242,64
334,Míchel,es ESP,MF,Valladolid,28.4,1395,1752,79.6,27266,7715,561,637,88.1,565,662,85.3,227,361,62.9
335,Miguel,es ESP,FW,Valladolid,0.1,4,6,66.7,39,2,4,5,80,0,0,,0,0,
336,Pere Milla,es ESP,"MF,FW",Eibar,3.8,71,135,52.6,1037,307,42,57,73.7,22,40,55,2,17,11.8
337,Santi Mina,es ESP,FW,Valencia,20.6,343,479,71.6,5097,815,194,246,78.9,101,137,73.7,24,34,70.6
338,Ignasi Miquel,es ESP,DF,Getafe,3.5,51,92,55.4,1184,600,11,14,78.6,29,42,69,11,35,31.4
339,Jorge Miramón,es ESP,DF,Huesca,27.7,981,1339,73.3,17740,8549,452,518,87.3,377,506,74.5,123,229,53.7
340,Luka Modric,hr CRO,MF,Real Madrid,29,1714,1986,86.3,30564,8774,832,899,92.5,611,682,89.6,224,292,76.7
341,Johan Mojica,co COL,"FW,MF",Girona,0.2,6,9,66.7,141,57,4,5,80,0,1,0,2,3,66.7
342,Jorge Molina,es ESP,FW,Getafe,29.4,495,765,64.7,6897,1899,307,410,74.9,134,204,65.7,28,42,66.7
343,Victor Mollejo,es ESP,"FW,DF",Atlético Madrid,0.7,19,24,79.2,156,19,16,16,100,1,4,25,0,0,
344,Francisco Montero,es ESP,DF,Atlético Madrid,4.5,121,166,72.9,2161,872,48,52,92.3,57,72,79.2,10,34,29.4
345,Emre Mor,tr TUR,"FW,MF",Celta Vigo,4.1,65,89,73,1009,255,25,32,78.1,23,31,74.2,6,8,75
346,Álvaro Morata,es ESP,FW,Atlético Madrid,12,152,266,57.1,1704,232,98,153,64.1,29,58,50,2,8,25
347,Álex Moreno,es ESP,DF,Rayo Vallecano,34.8,1152,1536,75,16661,5751,702,806,87.1,341,458,74.5,56,141,39.7
348,Gerard Moreno,es ESP,FW,Villarreal,25.7,539,771,69.9,9186,1990,272,356,76.4,185,255,72.5,65,88,73.9
349,Héctor Moreno,mx MEX,DF,Real Sociedad,21.5,1037,1221,84.9,20185,7557,347,369,94,566,615,92,110,196,56.1
350,Sergio Moreno,es ESP,FW,Rayo Vallecano,0.2,2,2,100,35,0,1,1,100,1,1,100,0,0,
351,Manu Morlanes,es ESP,MF,Villarreal,6.8,269,324,83,4694,1401,124,144,86.1,110,128,85.9,27,33,81.8
352,Loren Morón,es ESP,FW,Betis,21.7,259,355,73,3182,581,159,190,83.7,70,96,72.9,6,14,42.9
353,Toni Moya,es ESP,DF,Atlético Madrid,1,45,49,91.8,867,323,18,18,100,21,22,95.5,5,8,62.5
354,Javi Moyano,es ESP,DF,Valladolid,23.3,706,969,72.9,12180,5100,336,382,88,302,396,76.3,58,146,39.7
355,Iker Muniain,es ESP,"MF,FW",Athletic Club,26.5,1042,1250,83.4,15973,3974,551,617,89.3,361,418,86.4,76,115,66.1
356,Marc Muniesa,es ESP,"DF,MF",Girona,15.6,687,866,79.3,12414,5269,282,315,89.5,314,373,84.2,73,133,54.9
357,Aihen Muñoz,es ESP,DF,Real Sociedad,10.6,381,528,72.2,5921,2320,206,240,85.8,136,194,70.1,28,59,47.5
358,Ezequiel Muñoz,ar ARG,DF,Leganés,2.3,95,116,81.9,2036,558,24,27,88.9,52,58,89.7,19,31,61.3
359,Joaquín Muñoz,es ESP,FW,Atlético Madrid,0,0,1,0,0,0,0,0,,0,1,0,0,0,
360,Luis Muriel,co COL,"MF,FW",Sevilla,1.4,36,47,76.6,481,107,25,29,86.2,7,9,77.8,2,3,66.7
361,Jeison Murillo,co COL,DF,Barcelona,1.3,116,126,92.1,2557,884,30,30,100,64,68,94.1,20,24,83.3
362,Jeison Murillo,co COL,DF,Valencia,1,16,17,94.1,318,191,2,3,66.7,12,12,100,1,1,100
363,Damián Musto,ar ARG,"MF,DF",Huesca,18.7,626,785,79.7,11162,3514,279,337,82.8,237,273,86.8,75,118,63.6
364,Nacho,es ESP,DF,Valladolid,35,1274,1841,69.2,22285,9036,590,673,87.7,537,700,76.7,124,354,35
365,Nacho,es ESP,DF,Real Madrid,18.9,922,1043,88.4,15840,5295,411,449,91.5,419,459,91.3,72,100,72
366,Naldo,br BRA,DF,Espanyol,15.1,489,605,80.8,9729,3951,162,187,86.6,249,280,88.9,71,118,60.2
367,Ximo Navarro,es ESP,DF,Alavés,28.1,763,996,76.6,14090,5699,313,363,86.2,345,418,82.5,91,166,54.8
368,Jesús Navas,es ESP,"DF,FW",Sevilla,30.1,1366,1868,73.1,23681,7928,685,786,87.2,513,682,75.2,143,271,52.8
369,Keylor Navas,cr CRC,GK,Real Madrid,10,240,300,80,6672,4356,21,21,100,145,146,99.3,74,133,55.6
370,Raúl Navas,es ESP,DF,Real Sociedad,14.6,750,873,85.9,15651,5266,195,212,92,451,488,92.4,98,152,64.5
371,Neto,br BRA,GK,Valencia,34,490,849,57.7,16756,14227,50,50,100,206,211,97.6,230,584,39.4
372,Saúl Ñíguez,es ESP,"MF,DF",Atlético Madrid,32.5,1232,1619,76.1,18291,5554,679,774,87.7,417,556,75,71,140,50.7
373,Peru Nolaskoain,es ESP,DF,Athletic Club,5.2,239,277,86.3,4466,1846,83,96,86.5,123,133,92.5,27,35,77.1
374,Nolito,es ESP,"FW,DF",Sevilla,0.8,19,31,61.3,357,64,8,13,61.5,8,11,72.7,3,4,75
375,Unai Núñez,es ESP,DF,Athletic Club,11.8,469,541,86.7,9733,3530,149,161,92.5,248,268,92.5,68,98,69.4
376,Allan Nyom,cm CMR,"DF,FW",Leganés,19,471,639,73.7,7197,2977,272,300,90.7,150,207,72.5,38,88,43.2
377,Jan Oblak,si SVN,GK,Atlético Madrid,37,476,864,55.1,17872,15367,55,56,98.2,163,168,97,258,637,40.5
378,Álvaro Odriozola,es ESP,DF,Real Madrid,13.1,648,762,85,8974,2717,419,456,91.9,192,227,84.6,25,36,69.4
379,Dani Ojeda,es ESP,"MF,DF",Leganés,2.1,47,68,69.1,782,173,27,35,77.1,16,25,64,4,5,80
380,Lucas Olaza,uy URU,DF,Celta Vigo,10,356,487,73.1,5690,2575,184,198,92.9,129,176,73.3,29,81,35.8
381,Oier Olazábal,es ESP,GK,Levante,21,355,580,61.2,12351,9967,27,28,96.4,139,143,97.2,189,404,46.8
382,Kiko Olivas,es ESP,DF,Valladolid,34.4,1195,1359,87.9,22635,7140,443,484,91.5,598,639,93.6,135,200,67.5
383,Paulo Oliveira,pt POR,DF,Eibar,24.9,698,1020,68.4,16807,6154,129,170,75.9,394,488,80.7,165,323,51.1
384,Mathías Olivera,uy URU,"DF,MF",Getafe,11.2,221,397,55.7,3099,1683,141,197,71.6,61,117,52.1,11,49,22.4
385,Kenneth Omeruo,ng NGA,DF,Leganés,27,779,979,79.6,16929,6196,220,247,89.1,395,451,87.6,155,252,61.5
386,Fabián Orellana,cl CHI,"MF,FW",Eibar,30.4,957,1303,73.4,14832,3086,518,646,80.2,319,400,79.8,75,124,60.5
387,Mikel Oyarzabal,es ESP,"FW,MF",Real Sociedad,35,720,1013,71.1,10783,2678,421,506,83.2,217,300,72.3,51,97,52.6
388,Fernando Pacheco,es ESP,GK,Alavés,35,587,1048,56,23015,19770,52,53,98.1,163,166,98.2,372,824,45.1
389,Rubén Pardo,es ESP,"MF,FW",Real Sociedad,15.2,701,901,77.8,13160,4065,298,330,90.3,272,319,85.3,104,198,52.5
390,Daniel Parejo,es ESP,MF,Valencia,34,1973,2421,81.5,38483,14887,790,874,90.4,812,936,86.8,325,499,65.1
391,Thomas Partey,gh GHA,MF,Atlético Madrid,23,1133,1381,82,19019,6336,570,646,88.2,396,458,86.5,126,195,64.6
392,Gabriel Paulista,br BRA,DF,Valencia,29.1,1127,1300,86.7,23545,9286,350,380,92.1,587,649,90.4,180,246,73.2
393,Alfonso Pedraza,es ESP,"DF,FW",Villarreal,23.3,701,974,72,10800,4005,393,465,84.5,258,343,75.2,37,83,44.6
394,Pedrosa,es ESP,DF,Espanyol,8.5,246,314,78.3,3968,1167,128,142,90.1,93,119,78.2,18,38,47.4
395,Rubén Peña,es ESP,DF,Eibar,29.7,1308,1954,66.9,24359,12434,561,682,82.3,539,736,73.2,179,408,43.9
396,Carles Pérez,es ESP,FW,Barcelona,0.2,6,7,85.7,86,14,3,4,75,3,3,100,0,0,
397,Hernán Pérez,py PAR,"FW,MF",Espanyol,8.8,171,270,63.3,2737,822,97,127,76.4,56,91,61.5,13,28,46.4
398,Rubén Pérez,es ESP,MF,Leganés,27.5,1081,1362,79.4,21600,6870,436,504,86.5,451,542,83.2,183,261,70.1
399,Pablo Piatti,ar ARG,"FW,MF",Espanyol,8.3,185,282,65.6,2775,801,105,126,83.3,62,92,67.4,12,36,33.3
400,Cristiano Piccini,it ITA,DF,Valencia,20.8,779,1013,76.9,12997,4576,396,443,89.4,308,394,78.2,60,127,47.2
401,Tomás Pina Isla,es ESP,MF,Alavés,26,876,1066,82.2,14800,5302,407,481,84.6,376,423,88.9,71,99,71.7
402,Gerard Piqué,es ESP,DF,Barcelona,35,2196,2407,91.2,42386,14987,781,844,92.5,1154,1215,95,242,307,78.8
403,Carles Planas,es ESP,DF,Girona,4.7,162,230,70.4,2560,865,87,103,84.5,60,80,75,11,36,30.6
404,Óscar Plano,es ESP,"MF,FW",Valladolid,29.9,609,841,72.4,9641,2452,334,396,84.3,199,264,75.4,54,110,49.1
405,Stiven Plaza,ec ECU,"FW,MF",Valladolid,0.4,4,6,66.7,38,5,3,4,75,1,1,100,0,0,
406,Pere Pons,es ESP,MF,Girona,31,932,1199,77.7,15015,4308,464,563,82.4,363,446,81.4,68,107,63.6
407,Pedro Porro,es ESP,DF,Girona,24.6,837,1246,67.2,14762,5366,397,474,83.8,328,467,70.2,92,206,44.7
408,Francisco Portillo,es ESP,MF,Getafe,22.2,594,813,73.1,8877,3297,327,397,82.4,188,254,74,42,69,60.9
409,Portu,es ESP,"FW,MF",Girona,31.3,480,701,68.5,6769,1838,280,348,80.5,149,222,67.1,22,50,44
410,Sergio Postigo,es ESP,DF,Levante,16.1,384,497,77.3,8211,3877,115,129,89.1,198,228,86.8,64,121,52.9
411,José Pozo,es ESP,MF,Rayo Vallecano,18,600,745,80.5,8758,2414,326,366,89.1,214,254,84.3,23,57,40.4
412,Sanjin Prci?,ba BIH,MF,Levante,5.9,235,288,81.6,4167,1226,101,118,85.6,100,117,85.5,27,41,65.9
413,Quincy Promes,nl NED,"FW,DF",Sevilla,17.6,711,936,76,10848,3716,415,480,86.5,229,322,71.1,49,79,62
414,Javi Puado,es ESP,"FW,MF",Espanyol,4,64,93,68.8,778,148,51,60,85,9,21,42.9,2,4,50
415,Riqui Puig,es ESP,MF,Barcelona,1.7,106,116,91.4,1562,227,67,72,93.1,34,35,97.1,4,6,66.7
416,Jorge Pulido,es ESP,DF,Huesca,30.9,788,1069,73.7,14787,5946,300,352,85.2,383,475,80.6,87,191,45.5
417,Xavi Quintillà,es ESP,DF,Villarreal,7,291,379,76.8,4220,1782,168,189,88.9,102,137,74.5,13,33,39.4
418,Dani Raba,es ESP,"MF,FW",Villarreal,2.1,76,103,73.8,1337,189,39,44,88.6,21,28,75,13,19,68.4
419,Rafinha,br BRA,"FW,MF",Barcelona,2.5,131,148,88.5,1967,275,76,81,93.8,46,54,85.2,6,8,75
