,,,,,,,Total,,,,Short,,,Medium,,,Long,,
426,Pablo Piatti,ar ARG,"MF,FW",Espanyol,19.3,428,679,63,6722,2430,249,305,81.6,105,175,60,51,125,40.8
427,Tomás Pina Isla,es ESP,MF,Alavés,26.5,795,980,81.1,13329,4427,391,465,84.1,302,359,84.1,75,109,68.8
428,Gerard Piqué,es ESP,DF,Barcelona,29.2,1669,1868,89.3,32441,10908,613,661,92.7,791,856,92.4,236,304,77.6
429,Guido Pizarro,ar ARG,MF,Sevilla,19.5,1076,1251,86,18427,5716,494,555,89,480,540,88.9,82,103,79.6
430,Carles Planas,es ESP,DF,Girona,2.1,74,106,69.8,981,369,49,57,86,18,31,58.1,3,7,42.9
431,Pere Pons,es ESP,MF,Girona,28.4,824,1033,79.8,13993,3850,404,471,85.8,327,394,83,74,108,68.5
432,Francisco Portillo,es ESP,"MF,FW",Getafe,27.3,739,1020,72.5,11163,4024,418,505,82.8,229,312,73.4,57,100,57
433,Portu,es ESP,MF,Girona,33.3,477,672,71,7134,1785,273,331,82.5,159,214,74.3,25,51,49
434,Sergio Postigo,es ESP,DF,Levante,26.9,768,961,79.9,16597,7338,223,248,89.9,398,445,89.4,142,244,58.2
435,Darío Poveda,es ESP,MF,Villarreal,0,1,2,50,10,8,1,2,50,0,0,,0,0,
436,Andrés Prieto,es ESP,GK,Málaga,4,46,110,41.8,2093,1934,0,0,,12,15,80,34,94,36.2
437,Xabi Prieto,es ESP,"MF,FW",Real Sociedad,21.4,869,1065,81.6,12685,3382,495,565,87.6,296,354,83.6,50,78,64.1
438,Dani Raba,es ESP,"MF,FW",Villarreal,12.3,374,501,74.7,6629,1551,171,204,83.8,138,183,75.4,50,76,65.8
439,Nemanja Radoja,rs SRB,MF,Celta Vigo,12.3,523,611,85.6,8770,1891,247,281,87.9,223,250,89.2,39,51,76.5
440,Ivan Rakitic,hr CRO,MF,Barcelona,31.5,2282,2575,88.6,38020,11751,1127,1202,93.8,827,905,91.4,238,325,73.2
441,Jonás Ramalho,es ESP,DF,Girona,25.5,668,903,74,13589,5325,243,279,87.1,320,399,80.2,95,190,50
442,Benito Ramírez,es ESP,"FW,DF",Las Palmas,1.8,41,73,56.2,498,86,26,33,78.8,7,15,46.7,2,10,20
443,Sandro Ramírez,es ESP,"FW,MF",Sevilla,8,198,259,76.4,2736,532,123,140,87.9,58,76,76.3,8,25,32
444,Toño Ramírez,es ESP,GK,Real Sociedad,3.5,91,131,69.5,2496,1852,12,12,100,53,53,100,26,66,39.4
445,Iván Ramis,es ESP,DF,Eibar,14.5,578,700,82.6,14264,4965,121,142,85.2,287,331,86.7,162,208,77.9
446,Omar Ramos,es ESP,"FW,MF",Leganés,16.1,362,512,70.7,5745,1590,212,246,86.2,103,140,73.6,35,95,36.8
447,Sergio Ramos,es ESP,DF,Real Madrid,25.4,1717,1921,89.4,32838,14793,708,752,94.1,765,822,93.1,227,305,74.4
448,Recio,es ESP,MF,Málaga,20.4,812,1027,79.1,13953,4198,397,455,87.3,285,343,83.1,95,161,59
449,Alberto Redondo,es ESP,DF,Getafe,1,14,33,42.4,133,68,11,15,73.3,1,9,11.1,0,4,0
450,Xesc Regis,es ESP,FW,Eibar,0,0,0,,0,0,0,0,,0,0,,0,0,
451,Loïc Rémy,fr FRA,FW,Las Palmas,8.5,189,243,77.8,2863,606,109,133,82,52,67,77.6,18,27,66.7
452,Loïc Rémy,fr FRA,"FW,MF",Getafe,5.1,85,124,68.5,1227,156,53,69,76.8,23,34,67.6,6,10,60
453,Federico Ricca,uy URU,DF,Málaga,12.3,396,607,65.2,6327,3521,222,264,84.1,134,207,64.7,30,98,30.6
454,Diego Rico,es ESP,DF,Leganés,24.8,892,1329,67.1,15814,8615,442,531,83.2,336,482,69.7,101,230,43.9
455,Mikel Rico,es ESP,MF,Athletic Club,13,441,554,79.6,8001,1852,192,214,89.7,184,223,82.5,53,77,68.8
456,Sergio Rico,es ESP,GK,Sevilla,24,444,668,66.5,12988,10124,63,63,100,227,229,99.1,152,373,40.8
457,Asier Riesgo,es ESP,GK,Eibar,1,13,33,39.4,727,716,0,0,,0,0,,13,33,39.4
458,Cristian Rivera,es ESP,MF,Eibar,2.7,112,133,84.2,2076,285,38,45,84.4,58,61,95.1,13,19,68.4
459,Rober,es ESP,"DF,MF",Levante,21.2,555,680,81.6,10831,4124,204,234,87.2,277,316,87.7,71,110,64.5
460,Roberto,es ESP,GK,Málaga,34,519,998,52,21747,18793,24,24,100,165,168,98.2,330,804,41
461,Sergi Roberto,es ESP,DF,Barcelona,24.7,1634,1832,89.2,23188,6592,1001,1053,95.1,478,545,87.7,89,121,73.6
462,Álex Robles,es ESP,DF,Málaga,1,21,34,61.8,361,151,10,10,100,7,13,53.8,2,6,33.3
463,Marc Roca,es ESP,MF,Espanyol,2.9,151,170,88.8,2735,875,66,71,93,59,66,89.4,21,25,84
464,Rubén Rochina,es ESP,"MF,DF",Levante,1.7,62,86,72.1,1167,475,25,30,83.3,25,31,80.6,9,14,64.3
465,Rodri,es ESP,MF,Villarreal,35.9,2227,2483,89.7,40468,11630,975,1067,91.4,953,1039,91.7,265,308,86
466,Rodrigo,es ESP,FW,Valencia,29.8,688,928,74.1,10085,2192,370,453,81.7,221,299,73.9,46,80,57.5
467,Kévin Rodrigues,pt POR,DF,Real Sociedad,18.2,726,927,78.3,11312,4117,398,445,89.4,270,330,81.8,44,103,42.7
468,Ángel Rodríguez,es ESP,FW,Getafe,25.5,260,392,66.3,3933,881,133,183,72.7,87,130,66.9,22,35,62.9
469,Iván Rodríguez,es ESP,DF,Málaga,0.2,10,11,90.9,194,82,6,6,100,2,2,100,2,2,100
470,Diego Rolán,uy URU,"FW,MF",Málaga,21.6,472,606,77.9,6500,1331,296,347,85.3,119,157,75.8,29,49,59.2
471,Esteban Rolón,ar ARG,MF,Málaga,4.6,105,138,76.1,1780,482,58,71,81.7,32,45,71.1,13,15,86.7
472,Óscar Romero,py PAR,"MF,FW",Alavés,2.8,44,74,59.5,943,357,17,24,70.8,14,22,63.6,11,23,47.8
473,Cristiano Ronaldo,pt POR,FW,Real Madrid,25.4,615,789,77.9,8268,1746,390,462,84.4,164,212,77.4,26,41,63.4
474,Facundo Roncaglia,ar ARG,DF,Celta Vigo,16.6,945,1083,87.3,19810,6812,286,305,93.8,507,536,94.6,147,224,65.6
475,Roberto Rosales,ve VEN,DF,Málaga,34.7,1359,1936,70.2,24397,12466,673,783,86,467,664,70.3,194,393,49.4
476,Rubén,es ESP,GK,La Coruña,27.5,442,712,62.1,16078,12546,44,45,97.8,159,160,99.4,237,501,47.3
477,Aitor Ruibal,es ESP,MF,Betis,0.1,4,4,100,33,5,4,4,100,0,0,,0,0,
478,Fabián Ruiz Peña,es ESP,MF,Betis,29.5,1813,2120,85.5,29625,7192,960,1057,90.8,633,723,87.6,168,212,79.2
479,Víctor Ruiz,es ESP,DF,Villarreal,26.8,1218,1430,85.2,23906,10797,472,500,94.4,569,625,91,160,272,58.8
480,Antonio Rukavina,rs SRB,DF,Villarreal,14.1,489,628,77.9,8304,3404,236,271,87.1,197,247,79.8,44,86,51.2
481,Gerónimo Rulli,ar ARG,GK,Real Sociedad,26,847,1115,76,23364,16741,113,114,99.1,446,459,97.2,284,533,53.3
482,Enric Saborit,es ESP,DF,Athletic Club,15.9,524,707,74.1,9157,2571,244,288,84.7,228,294,77.6,47,92,51.1
483,Mujaid Sadick,es ESP,DF,La Coruña,1.2,38,41,92.7,620,185,14,14,100,22,24,91.7,1,2,50
484,Armando Sadiku,al ALB,FW,Levante,3,53,71,74.6,687,179,31,39,79.5,18,23,78.3,0,2,0
485,Sergi Samper,es ESP,MF,Las Palmas,1.6,69,84,82.1,1088,231,33,38,86.8,28,33,84.8,4,8,50
486,Jairo Samperio,es ESP,"FW,MF",Las Palmas,6.2,96,155,61.9,1406,401,58,79,73.4,30,46,65.2,5,13,38.5
487,Mikel San José,es ESP,MF,Athletic Club,23.9,800,1025,78,14622,4583,341,412,82.8,348,420,82.9,93,139,66.9
488,Antonio Sanabria,py PAR,FW,Betis,9.5,126,174,72.4,1696,211,74,93,79.6,32,50,64,6,7,85.7
489,Carlos Sánchez,co COL,MF,Espanyol,12.5,478,584,81.8,8868,2054,209,249,83.9,197,223,88.3,63,85,74.1
490,Sergio Sánchez,es ESP,DF,Espanyol,1.1,28,41,68.3,516,201,9,12,75,14,15,93.3,4,10,40
491,Víctor Sánchez,es ESP,"MF,DF",Espanyol,27.3,1007,1404,71.7,15934,6243,558,637,87.6,331,445,74.4,83,240,34.6
492,Arona Sané,sn SEN,"MF,FW",Atlético Madrid,0.7,10,15,66.7,129,0,6,9,66.7,3,5,60,0,0,
493,Nicola Sansone,it ITA,"FW,MF",Villarreal,7.1,177,239,74.1,2538,596,112,135,83,44,60,73.3,12,18,66.7
494,Christian Santos,ve VEN,FW,Alavés,4.8,89,137,65,1073,151,59,85,69.4,21,36,58.3,2,3,66.7
495,Pablo Sarabia,es ESP,"FW,MF",Sevilla,26.6,865,1178,73.4,12670,4208,510,589,86.6,256,343,74.6,55,134,41
496,Imanol Sarriegi,es ESP,"MF,FW",Eibar,0.5,20,25,80,352,30,8,11,72.7,9,9,100,2,4,50
497,Stefan Savi?,me MNE,DF,Atlético Madrid,25.5,809,994,81.4,16894,6144,270,299,90.3,384,427,89.9,145,242,59.9
498,Fabian Schär,ch SUI,DF,La Coruña,24.7,758,957,79.2,17100,7073,233,260,89.6,353,400,88.3,166,272,61
499,Sergio Segura García,es ESP,DF,Leganés,0.3,,,,,,,,,,,,,,
500,Nélson Semedo,pt POR,DF,Barcelona,16.6,1000,1148,87.1,13976,3938,618,656,94.2,280,330,84.8,53,80,66.3
501,Rúben Semedo,pt POR,"DF,MF",Villarreal,2.6,78,89,87.6,1272,446,38,41,92.7,34,36,94.4,4,8,50
502,Gaku Shibasaki,jp JPN,"MF,FW",Getafe,11.1,256,357,71.7,4278,976,121,155,78.1,91,120,75.8,26,50,52
503,Sidnei,br BRA,DF,La Coruña,19.8,642,769,83.5,13907,4492,185,203,91.1,329,372,88.4,121,181,66.9
504,Jaime Sierra Mateos,es ESP,"FW,MF",Leganés,0.3,3,5,60,39,5,2,4,50,1,1,100,0,0,
505,David Simón,es ESP,DF,Las Palmas,8,413,525,78.7,5778,2109,258,284,90.8,115,153,75.2,22,54,40.7
506,Dimitris Siovas,gr GRE,DF,Leganés,22.9,547,744,73.5,10832,3916,188,228,82.5,275,340,80.9,76,153,49.7
507,Pione Sisto,dk DEN,"FW,MF",Celta Vigo,28,863,1075,80.3,14422,3379,472,532,88.7,254,314,80.9,108,169,63.9
508,Antonio Sivera,es ESP,GK,Alavés,0.7,7,15,46.7,311,279,1,1,100,1,1,100,5,13,38.5
509,Rubén Sobrino,es ESP,"FW,MF",Alavés,16.3,290,407,71.3,3622,775,193,239,80.8,62,93,66.7,11,21,52.4
510,Carlos Soler,es ESP,MF,Valencia,26.3,814,1002,81.2,13201,3615,437,486,89.9,288,343,84,67,112,59.8
511,Kévin Soni,cm CMR,MF,Girona,0.2,3,5,60,53,22,1,1,100,2,4,50,0,0,
512,David Soria,es ESP,GK,Sevilla,14,273,377,72.4,8316,6746,28,28,100,133,138,96.4,111,210,52.9
513,Roberto Soriano,it ITA,"MF,FW",Villarreal,12.7,395,511,77.3,5515,1416,249,293,85,113,138,81.9,16,29,55.2
514,Cristhian Stuani,uy URU,FW,Girona,30.1,329,500,65.8,4250,566,220,309,71.2,83,133,62.4,9,15,60
515,Damián Suárez,uy URU,DF,Getafe,32,1175,1698,69.2,20383,11107,623,721,86.4,378,553,68.4,143,321,44.5
516,Denis Suárez,es ESP,"MF,FW",Barcelona,6.6,312,387,80.6,4244,1048,193,218,88.5,81,97,83.5,16,31,51.6
517,Leonardo Suárez,ar ARG,MF,Villarreal,0.3,9,12,75,133,11,7,10,70,1,1,100,1,1,100
518,Luis Suárez,uy URU,FW,Barcelona,32.2,818,1080,75.7,11732,2032,486,596,81.5,211,274,77,58,84,69
519,Isaac Success,ng NGA,"MF,FW",Málaga,5.5,81,143,56.6,1370,283,39,57,68.4,35,52,67.3,5,18,27.8
520,Markel Susaeta,es ESP,"FW,MF",Athletic Club,25.2,746,1013,73.6,12787,3245,368,428,86,254,314,80.9,100,205,48.8
521,Tana,es ESP,"MF,FW",Las Palmas,17.2,694,832,83.4,9639,2925,434,473,91.8,179,214,83.6,44,81,54.3
522,Oussama Tannane,ma MAR,FW,Las Palmas,6.4,183,251,72.9,2774,724,106,124,85.5,59,78,75.6,13,29,44.8
523,Cristian Tello,es ESP,"FW,MF",Betis,18.8,549,724,75.8,8029,1725,332,400,83,167,223,74.9,32,52,61.5
524,Marc-André ter Stegen,de GER,GK,Barcelona,37,1068,1304,81.9,27867,19442,154,154,100,598,613,97.6,313,531,58.9
525,David Timor,es ESP,"MF,DF",Girona,10.3,379,470,80.6,7226,2558,172,192,89.6,136,160,85,53,87,60.9
526,Tito,es ESP,DF,Leganés,6.8,215,294,73.1,3192,1487,126,140,90,65,95,68.4,14,38,36.8
527,Hernán Toledo,ar ARG,"FW,MF",Las Palmas,6.9,113,173,65.3,1385,420,77,98,78.6,30,50,60,1,5,20
528,Toño,es ESP,DF,Levante,12,443,589,75.2,7402,2914,247,275,89.8,145,193,75.1,45,97,46.4
529,Daniel Torres,co COL,MF,Alavés,13.5,420,514,81.7,7635,2847,190,212,89.6,172,203,84.7,52,76,68.4
530,Fernando Torres,es ESP,FW,Atlético Madrid,10.9,147,248,59.3,1882,401,95,143,66.4,31,59,52.5,8,16,50
531,Ferrán Torres,es ESP,MF,Valencia,3.5,68,110,61.8,1005,379,46,63,73,17,26,65.4,4,13,30.8
532,Miguel Torres,es ESP,DF,Málaga,7.5,248,306,81,4098,2180,118,127,92.9,101,125,80.8,22,42,52.4
533,Pau Torres,es ESP,DF,Villarreal,0.6,20,32,62.5,428,175,6,9,66.7,10,12,83.3,4,8,50
534,Alin Tosca,ro ROU,DF,Betis,4.7,182,217,83.9,3015,1093,96,107,89.7,65,80,81.3,16,20,80
535,Manu Trigueros,es ESP,MF,Villarreal,30,1612,1912,84.3,29669,8840,714,777,91.9,651,738,88.2,218,308,70.8
536,Przemyslaw Tyton,pl POL,GK,La Coruña,1.1,17,28,60.7,508,358,1,1,100,9,9,100,7,18,38.9
537,Samuel Umtiti,fr FRA,DF,Barcelona,24.3,1483,1628,91.1,26965,9644,587,622,94.4,736,778,94.6,143,189,75.7
538,Enes Ünal,tr TUR,FW,Villarreal,12.5,205,286,71.7,2352,582,146,179,81.6,43,65,66.2,3,5,60
539,Enes Ünal,tr TUR,FW,Levante,6.6,104,140,74.3,1173,195,71,94,75.5,24,34,70.6,0,1,0
540,Francis Uzoho,ng NGA,GK,La Coruña,2,20,48,41.7,770,685,1,1,100,6,6,100,13,40,32.5
541,Gerard Valentín,es ESP,"DF,FW",La Coruña,1.8,35,55,63.6,629,309,15,18,83.3,15,25,60,4,9,44.4
542,Borja Valle,es ESP,"FW,MF",La Coruña,5.4,103,141,73,1511,277,63,71,88.7,29,48,60.4,7,11,63.6
543,Jesús Vallejo,es ESP,DF,Real Madrid,7,319,366,87.2,6507,2307,98,108,90.7,177,189,93.7,44,67,65.7
544,Federico Valverde,uy URU,"MF,FW",La Coruña,13.7,447,593,75.4,7941,2267,237,282,84,145,192,75.5,55,77,71.4
545,Raphaël Varane,fr FRA,DF,Real Madrid,25.8,1211,1339,90.4,24144,8451,434,460,94.3,591,635,93.1,169,214,79
546,Franco Vázquez,ar ARG,MF,Sevilla,20.4,655,915,71.6,9906,2768,367,448,81.9,213,280,76.1,46,85,54.1
547,Lucas Vázquez,es ESP,"MF,FW",Real Madrid,18.7,818,1014,80.7,11947,2703,515,563,91.5,218,273,79.9,55,91,60.4
548,Koke Vegas,es ESP,GK,Levante,1,15,29,51.7,481,392,2,2,100,6,6,100,7,21,33.3
549,Carlos Vela,mx MEX,FW,Real Sociedad,4.2,160,209,76.6,2510,920,89,100,89,44,58,75.9,18,33,54.5
550,Thomas Vermaelen,be BEL,DF,Barcelona,11.3,603,650,92.8,12304,3928,187,193,96.9,320,338,94.7,91,105,86.7
551,Mikel Vesga,es ESP,MF,Athletic Club,9,327,404,80.9,6069,1463,136,158,86.1,141,172,82,42,57,73.7
552,Rúben Vezo,pt POR,DF,Valencia,17.3,630,825,76.4,11175,4877,261,301,86.7,305,378,80.7,52,103,50.5
553,Aleix Vidal,es ESP,"MF,FW",Barcelona,5.1,207,275,75.3,3005,827,111,130,85.4,70,87,80.5,13,26,50
554,Nacho Vidal,es ESP,DF,Valencia,5,176,221,79.6,2842,1050,97,107,90.7,64,81,79,12,24,50
555,Jonathan Viera,es ESP,MF,Las Palmas,22.1,1271,1557,81.6,18812,5418,718,801,89.6,398,488,81.6,84,146,57.5
556,Luciano Vietto,ar ARG,FW,Atlético Madrid,3,68,80,85,823,132,43,46,93.5,14,18,77.8,2,3,66.7
557,Luciano Vietto,ar ARG,FW,Valencia,5.9,158,204,77.5,2190,470,99,113,87.6,38,54,70.4,11,16,68.8
558,Carlos Vigaray,es ESP,DF,Alavés,9.9,238,347,68.6,3958,1597,115,141,81.6,91,133,68.4,22,50,44
559,Dídac Vilà,es ESP,"DF,MF",Espanyol,8.1,318,418,76.1,5439,1636,164,184,89.1,115,145,79.3,30,58,51.7
560,Vitolo,es ESP,"FW,MF",Las Palmas,7.7,307,369,83.2,3854,1014,208,230,90.4,75,86,87.2,7,15,46.7
561,Vitolo,es ESP,"MF,FW",Atlético Madrid,6.9,235,304,77.3,2885,743,149,174,85.6,56,69,81.2,6,13,46.2
562,Šime Vrsaljko,hr CRO,DF,Atlético Madrid,18.8,608,891,68.2,9404,3391,335,406,82.5,221,318,69.5,36,110,32.7
563,Wakaso,gh GHA,MF,Alavés,12.2,330,480,68.8,6784,2152,125,148,84.5,123,172,71.5,72,134,53.7
564,Daniel Wass,dk DEN,"MF,DF",Celta Vigo,32.6,1257,1676,75,19875,6057,690,801,86.1,425,547,77.7,94,216,43.5
565,Axel Werner,ar ARG,GK,Atlético Madrid,1,5,17,29.4,223,205,0,0,,1,1,100,4,16,25
566,Iñaki Williams,gh GHA,"FW,MF",Athletic Club,31.7,555,761,72.9,8171,1618,311,383,81.2,177,241,73.4,39,58,67.2
567,Yoel,es ESP,GK,Eibar,1,14,40,35,746,742,0,0,,0,0,,14,40,35
568,Joseba Zaldúa,es ESP,DF,Leganés,28.4,921,1264,72.9,14775,6228,501,571,87.7,339,455,74.5,64,173,37
569,Simone Zaza,it ITA,FW,Valencia,23.1,319,465,68.6,4630,914,179,226,79.2,94,135,69.6,22,32,68.8
570,Nabil El Zhar,ma MAR,"FW,MF",Leganés,22,469,644,72.8,7069,2171,280,337,83.1,130,181,71.8,40,73,54.8
571,Luca Zidane,fr FRA,GK,Real Madrid,1,30,32,93.8,725,327,2,2,100,22,22,100,6,8,75
572,Igor Zubeldia,es ESP,MF,Real Sociedad,17.6,810,944,85.8,15702,3292,305,348,87.6,387,426,90.8,106,137,77.4
573,David Zurutuza,es ESP,MF,Real Sociedad,24.9,987,1165,84.7,16088,4088,512,580,88.3,374,427,87.6,80,104,76.9
