,,,,,,Total,,,,,Short,,,Medium,,,Long,,
Rk,Player,Nation,Pos,Squad,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
426,Iñigo Pérez,es ESP,"MF,DF",Osasuna,15,460,666,69.1,7876,3451,231,277,83.4,163,235,69.4,52,110,47.3
427,Juan Pérez,es ESP,GK,Osasuna,3,48,89,53.9,1983,1610,5,5,100,15,16,93.8,28,65,43.1
428,Kike Pérez,es ESP,MF,Valladolid,12.9,422,529,79.8,7012,1890,207,243,85.2,147,166,88.6,41,65,63.1
429,Lucas Pérez,es ESP,FW,Alavés,19.5,416,667,62.4,7994,2771,172,219,78.5,153,225,68,75,169,44.4
430,Luis Pérez,es ESP,DF,Valladolid,14.4,434,637,68.1,6836,3058,235,277,84.8,151,213,70.9,33,96,34.4
431,Nehuén Pérez,ar ARG,DF,Granada,8.2,150,199,75.4,3094,1049,48,55,87.3,84,98,85.7,17,42,40.5
432,Pablo Piatti,ar ARG,"MF,FW",Elche,4,92,127,72.4,1351,247,49,59,83.1,31,41,75.6,6,16,37.5
433,Cristiano Piccini,it ITA,DF,Valencia,0.7,22,30,73.3,401,146,7,7,100,12,14,85.7,3,8,37.5
434,Tomás Pina Isla,es ESP,MF,Alavés,28.6,752,918,81.9,11631,3990,417,485,86,284,324,87.7,33,62,53.2
435,Yeremi Pino,es ESP,"FW,MF",Villarreal,8.9,242,307,78.8,3168,720,157,178,88.2,60,80,75,12,16,75
436,Gerard Piqué,es ESP,DF,Barcelona,16.5,1170,1246,93.9,21894,7338,381,404,94.3,669,689,97.1,97,117,82.9
437,Miralem Pjani?,ba BIH,MF,Barcelona,7,688,761,90.4,10154,2873,381,401,95,250,270,92.6,33,47,70.2
438,Óscar Plano,es ESP,"MF,FW",Valladolid,28,606,830,73,8892,2504,343,422,81.3,191,249,76.7,42,80,52.5
439,Dani Plomer,es ESP,FW,Granada,0.5,3,3,100,32,0,3,3,100,0,0,,0,0,
440,Jorge Pombo,es ESP,"FW,MF",Cádiz,5.8,135,182,74.2,2325,626,68,79,86.1,49,60,81.7,12,32,37.5
441,Pere Pons,es ESP,MF,Alavés,13.2,270,349,77.4,3710,1000,164,190,86.3,74,92,80.4,13,29,44.8
442,Francisco Portillo,es ESP,"MF,FW",Getafe,4.6,196,272,72.1,2869,965,107,125,85.6,70,87,80.5,10,24,41.7
443,Portu,es ESP,"FW,MF",Real Sociedad,24.3,384,580,66.2,5001,1224,228,289,78.9,111,159,69.8,10,41,24.4
444,Sergio Postigo,es ESP,DF,Levante,18,720,874,82.4,14640,6190,252,270,93.3,354,386,91.7,109,201,54.2
445,Darío Poveda,es ESP,FW,Getafe,0.1,2,5,40,23,2,0,0,,1,3,33.3,0,0,
446,Alejandro Pozo Pozo,es ESP,"DF,MF",Eibar,24.3,829,1161,71.4,14342,5725,406,473,85.8,294,396,74.2,106,225,47.1
447,Antonio Puertas,es ESP,"FW,MF",Granada,24.1,418,652,64.1,5773,1456,254,323,78.6,105,168,62.5,25,69,36.2
448,Riqui Puig,es ESP,"MF,FW",Barcelona,3.2,318,349,91.1,4530,953,182,197,92.4,90,100,90,25,28,89.3
449,Jorge Pulido,es ESP,DF,Huesca,32.1,1358,1637,83,26618,8811,453,504,89.9,741,815,90.9,151,274,55.1
450,Domingos Quina,pt POR,MF,Granada,3.8,68,91,74.7,1052,210,38,46,82.6,19,27,70.4,6,6,100
451,Quini,es ESP,DF,Granada,13.2,341,513,66.5,5122,1915,192,229,83.8,110,163,67.5,23,73,31.5
452,Quique,es ESP,"FW,MF",Eibar,1.9,35,49,71.4,501,71,23,29,79.3,11,15,73.3,1,3,33.3
453,Dani Raba,es ESP,"MF,FW",Villarreal,1.7,63,84,75,997,252,33,38,86.8,18,23,78.3,6,16,37.5
454,Uros Racic,rs SRB,MF,Valencia,24.3,835,1055,79.1,15999,3789,337,420,80.2,337,388,86.9,134,179,74.9
455,Nemanja Radoja,rs SRB,MF,Levante,12.5,588,683,86.1,10203,2456,269,304,88.5,243,273,89,58,76,76.3
456,Ivan Rakitic,hr CRO,MF,Sevilla,24.8,1480,1717,86.2,25592,6345,722,778,92.8,543,600,90.5,167,247,67.6
457,Jonás Ramalho,es ESP,DF,Osasuna,3.4,99,132,75,1776,772,48,54,88.9,38,48,79.2,11,26,42.3
458,Sandro Ramírez,es ESP,FW,Huesca,14.3,246,326,75.5,3934,735,132,159,83,78,98,79.6,23,31,74.2
459,Sergio Ramos,es ESP,DF,Real Madrid,14.2,1019,1112,91.6,21101,7915,334,356,93.8,493,514,95.9,174,201,86.6
460,Recio,es ESP,MF,Eibar,8.2,354,439,80.6,5844,1566,177,197,89.8,124,140,88.6,39,70,55.7
461,Francisco Reis Ferreira,pt POR,DF,Valencia,2,67,79,84.8,1418,541,20,21,95.2,36,40,90,10,14,71.4
462,Karim Rekik,nl NED,DF,Sevilla,7.3,433,494,87.7,6455,1947,232,257,90.3,175,196,89.3,15,26,57.7
463,Álex Remiro,es ESP,GK,Real Sociedad,38,872,1219,71.5,25396,18456,141,142,99.3,414,420,98.6,315,651,48.4
464,Oriol Rey,es ESP,MF,Valladolid,0.2,10,12,83.3,211,58,3,4,75,5,5,100,2,3,66.7
