,,,,,,Tackles,,,,,Vs Dribbles,,,,Blocks,,,,,,
Rk,Player,Nation,Pos,Squad,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
152,Bernardo Espinosa,co COL,DF,Girona,31.9,36,22,29,6,1,18,33,54.5,15,27,19,8,66,102,169,0
153,Oghenekaro Etebo,ng NGA,MF,Las Palmas,13.5,24,17,9,12,3,12,26,46.2,14,17,3,14,27,51,10,0
154,Beñat Etxebarria,es ESP,MF,Athletic Club,12.4,28,20,12,13,3,13,36,36.1,23,6,1,5,28,56,12,0
155,Xabier Etxeita,es ESP,DF,Athletic Club,4.2,2,2,2,0,0,1,4,25,3,3,2,1,7,9,25,1
156,Edu Expósito,es ESP,"MF,FW",La Coruña,1.1,1,0,0,0,1,0,1,0,1,1,0,1,2,3,2,0
157,Erik Expósito,es ESP,FW,Las Palmas,5.2,1,1,0,1,0,0,6,0,6,6,0,6,1,2,5,0
158,Imoh Ezekiel,ng NGA,"MF,FW",Las Palmas,5.2,8,6,3,2,3,3,4,75,1,4,0,4,2,10,3,0
159,Fayçal Fajr,ma MAR,"MF,FW",Getafe,26.5,62,45,22,34,6,17,66,25.8,49,26,4,22,30,92,42,0
160,Zouhair Feddal,ma MAR,DF,Betis,14,22,14,14,6,2,7,12,58.3,5,17,13,4,36,58,95,2
161,Andrés Fernández,es ESP,GK,Villarreal,2.5,1,0,1,0,0,0,0,,0,0,0,0,0,1,4,0
162,Augusto Fernández,ar ARG,MF,Atlético Madrid,1.2,3,2,1,2,0,1,3,33.3,2,3,2,1,2,5,3,0
163,Carlos Fernández,es ESP,FW,Sevilla,1.5,2,1,1,1,0,0,2,0,2,1,0,1,0,2,0,0
165,Raúl Fernández,es ESP,GK,Levante,11,0,0,0,0,0,0,0,,0,1,0,1,0,0,10,1
166,Junior Firpo,es ESP,DF,Betis,13.2,26,17,15,8,3,10,18,55.6,8,21,2,19,20,46,37,1
167,Mathieu Flamini,fr FRA,MF,Getafe,5.3,11,5,3,7,1,4,9,44.4,5,2,0,2,8,19,8,0
168,Andreu Fontàs,es ESP,DF,Celta Vigo,9.8,13,9,8,5,0,3,13,23.1,10,9,5,4,14,27,30,0
169,Pablo Fornals,es ESP,"MF,FW",Villarreal,29.1,52,33,19,26,7,18,60,30,42,29,3,26,22,74,18,0
170,Javi Fuego,es ESP,MF,Villarreal,6,20,13,8,11,1,7,14,50,7,7,4,3,3,23,14,0
171,Javi Fuego,es ESP,MF,Espanyol,14.9,34,25,19,12,3,11,28,39.3,17,15,6,9,19,53,23,0
172,Gabi,es ESP,MF,Atlético Madrid,26.1,80,49,39,37,4,38,104,36.5,66,28,10,18,44,124,38,0
173,Gabriel,br BRA,MF,Leganés,26.4,90,69,28,54,8,29,74,39.2,45,38,4,34,38,128,27,0
