,,,,,Performance,,,,,,,,,Performance,,,,Aerial Duels,,
Rk,Player,Nation,Pos,Squad,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
126,Sebastián Cristóforo,uy URU,MF,Eibar,1,0,0,21,24,2,18,8,19,0,0,0,58,9,17,34.6
127,Cucho,co COL,"FW,MF",Mallorca,5,1,1,16,37,4,24,10,8,0,1,0,58,55,58,48.7
128,Marc Cucurella,es ESP,"MF,DF",Getafe,9,0,0,77,62,6,127,36,51,1,0,0,243,51,79,39.2
129,Iván Cuéllar,es ESP,GK,Leganés,4,1,1,0,6,0,0,0,0,0,0,0,21,7,0,100
130,Moanes Dabbur,il ISR,FW,Sevilla,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0
131,Sergi Darder,es ESP,MF,Espanyol,4,0,0,34,26,2,57,24,23,0,0,0,142,26,19,57.8
132,Ousmane Dembélé,fr FRA,FW,Barcelona,1,1,0,1,5,4,20,0,2,0,0,0,14,1,2,33.3
133,Deyverson,br BRA,FW,Getafe,2,0,0,7,0,1,3,0,0,0,0,0,11,17,12,58.6
134,Mouctar Diakhaby,gn GUI,DF,Valencia,5,0,0,17,14,2,1,11,8,0,1,0,71,37,22,62.7
135,Brahim Díaz,es ESP,FW,Real Madrid,1,0,0,1,6,0,0,0,0,0,0,0,2,0,1,0
136,Víctor Díaz,es ESP,DF,Granada,4,0,0,20,12,1,121,48,43,0,0,0,141,67,42,61.5
137,Papakouli Diop,sn SEN,MF,Eibar,7,0,0,53,34,1,8,34,26,0,0,0,141,62,47,56.9
138,Djené,tg TOG,DF,Getafe,5,0,0,41,25,1,10,34,32,0,2,1,228,86,63,57.7
139,Naïs Djouahra,fr FRA,FW,Real Sociedad,0,0,0,1,0,0,5,0,0,0,0,0,2,1,0,100
140,Marko Dmitrovi?,rs SRB,GK,Eibar,3,0,0,1,1,0,0,3,2,0,0,0,53,12,0,100
141,Jaume Doménech,es ESP,GK,Valencia,1,0,0,0,0,0,0,1,0,0,0,0,15,1,1,50
142,Domingos Duarte,pt POR,DF,Granada,7,0,0,39,22,4,1,34,19,0,3,0,107,78,54,59.1
143,Óscar Duarte,cr CRC,DF,Levante,0,0,0,10,3,0,0,6,3,0,0,0,25,10,13,43.5
144,Rubén Duarte,es ESP,DF,Alavés,11,0,0,46,39,0,64,47,32,1,5,0,150,55,54,50.5
145,Hugo Duro,es ESP,"FW,MF",Getafe,3,0,0,11,16,1,4,1,5,1,0,0,12,14,40,25.9
146,Aritz Elustondo,es ESP,DF,Real Sociedad,4,0,0,12,9,0,6,15,17,0,0,0,66,64,35,64.6
147,Rodrigo Ely,br BRA,DF,Alavés,9,1,0,34,12,2,2,32,13,0,0,0,97,87,36,70.7
148,Adri Embarba,es ESP,"MF,FW",Espanyol,4,0,0,24,27,1,110,16,22,0,0,0,92,10,36,21.7
149,Emerson,br BRA,DF,Betis,11,0,0,46,95,1,80,31,46,0,0,0,138,63,36,63.6
150,Youssef En-Nesyri,ma MAR,FW,Leganés,2,0,0,21,19,17,9,5,7,1,0,0,30,70,102,40.7
151,Youssef En-Nesyri,ma MAR,FW,Sevilla,1,0,0,16,11,12,6,5,5,0,0,0,24,34,40,45.9
152,Sergi Enrich,es ESP,FW,Eibar,6,0,0,61,23,17,8,9,6,0,0,0,71,112,174,39.2
153,Javier Eraso,es ESP,MF,Leganés,3,0,0,18,15,3,34,7,5,0,0,0,40,12,27,30.8
154,Gonzalo Escalante,ar ARG,MF,Eibar,9,1,1,31,30,2,16,29,22,2,1,0,105,57,60,48.7
155,Aarón Escandell,es ESP,GK,Granada,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,
156,Sergio Escudero,es ESP,DF,Sevilla,2,0,0,11,8,0,17,13,16,0,1,0,37,25,13,65.8
157,Bernardo Espinosa,co COL,DF,Espanyol,5,1,0,33,18,3,1,24,16,0,1,0,126,115,56,67.3
158,Vicente Esquerdo,es ESP,"MF,FW",Valencia,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100
159,Pervis Estupiñán,ec ECU,DF,Osasuna,8,0,0,42,40,4,162,58,45,0,0,0,277,43,44,49.4
160,Oghenekaro Etebo,ng NGA,MF,Getafe,4,0,0,8,7,0,14,11,4,0,0,0,43,22,14,61.1
161,Beñat Etxebarria,es ESP,MF,Athletic Club,0,0,0,2,2,0,20,4,1,0,0,0,25,4,5,44.4
162,Xabier Etxeita,es ESP,DF,Getafe,7,0,0,16,12,0,0,17,11,0,0,0,58,49,37,57
163,Edu Expósito,es ESP,MF,Eibar,3,0,0,29,18,0,19,31,28,0,0,0,191,42,62,40.4
164,Fabricio,es ESP,GK,Mallorca,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,
165,Fayçal Fajr,ma MAR,MF,Getafe,2,0,0,3,5,0,32,4,1,0,0,0,19,9,11,45
166,Eliseo Falcon,es ESP,DF,Levante,2,1,1,2,0,0,0,0,0,0,0,0,2,1,0,100
167,Ansu Fati,es ESP,FW,Barcelona,2,1,0,19,19,4,21,8,8,0,0,0,41,6,11,35.3
168,Aleix Febas,es ESP,"MF,FW",Mallorca,4,0,0,19,48,0,3,17,24,1,0,0,92,4,15,21.1
169,Zouhair Feddal,ma MAR,DF,Betis,10,2,0,23,9,0,0,23,13,0,0,0,67,45,29,60.8
170,Ljubomir Fejsa,rs SRB,MF,Alavés,2,0,0,24,7,0,0,6,13,0,1,0,54,18,11,62.1
171,Nabil Fekir,fr FRA,"MF,FW",Betis,10,2,2,69,113,14,51,10,26,5,0,0,121,29,41,41.4
172,Felipe,br BRA,DF,Atlético Madrid,7,0,0,30,14,1,1,40,19,0,1,0,99,92,32,74.2
173,João Félix,pt POR,"FW,MF",Atlético Madrid,6,0,0,33,39,6,18,10,3,1,0,0,58,17,45,27.4
174,Matheus Fernandes,br BRA,"MF,FW",Valladolid,0,0,0,2,1,0,0,2,2,0,0,0,11,6,9,40
175,Aitor Fernández,es ESP,GK,Levante,2,0,0,1,4,0,0,2,1,0,1,0,45,10,1,90.9
176,Andrés Fernández,es ESP,GK,Villarreal,1,0,0,1,1,0,0,0,0,0,1,0,14,3,0,100
177,Carlos Fernández,es ESP,"FW,MF",Granada,8,0,0,60,45,8,12,11,15,2,0,0,74,97,146,39.9
178,Gabriel Fernández,uy URU,"FW,MF",Celta Vigo,5,1,1,17,8,7,2,2,0,0,0,0,14,22,30,42.3
179,Joaquín Fernández,es ESP,"MF,DF",Valladolid,9,0,0,32,8,5,0,32,24,0,0,0,77,54,35,60.7
180,Fernando,br BRA,MF,Sevilla,13,0,0,39,22,2,2,67,33,0,0,0,187,76,60,55.9
181,Facundo Ferreyra,ar ARG,"FW,MF",Espanyol,2,0,0,25,8,5,3,2,4,0,0,0,17,23,34,40.4
182,Junior Firpo,es ESP,DF,Barcelona,5,0,0,35,16,2,8,17,15,0,0,0,36,11,12,47.8
183,Alessandro Florenzi,it ITA,DF,Valencia,1,1,0,7,5,0,31,14,9,0,0,0,45,4,7,36.4
184,Hernâni Fortes,pt POR,"MF,FW",Levante,3,1,1,5,17,5,47,4,2,0,0,0,37,1,9,10
185,Dimitri Foulquier,fr FRA,"DF,MF",Granada,4,0,0,20,17,0,19,16,11,0,0,0,76,15,21,41.7
186,Jorge de Frutos,es ESP,"MF,DF",Valladolid,0,0,0,2,0,0,2,0,2,0,0,0,3,0,1,0
187,Ramiro Funes Mori,ar ARG,DF,Villarreal,1,0,0,7,4,0,0,3,2,0,0,0,35,9,8,52.9
188,Enric Gallego,es ESP,FW,Osasuna,5,1,0,35,9,10,4,4,5,0,0,0,24,87,80,52.1
189,Enric Gallego,es ESP,FW,Getafe,0,0,0,4,2,0,1,2,1,0,0,0,5,12,15,44.4
190,Kévin Gameiro,fr FRA,FW,Valencia,0,0,0,14,13,13,21,5,9,0,0,0,43,6,42,12.5
191,Fran Gámez,es ESP,DF,Mallorca,5,0,0,25,8,2,54,29,42,0,1,0,117,11,20,35.5
192,Ezequiel Garay,ar ARG,DF,Valencia,2,0,0,10,1,0,2,14,8,0,1,0,55,29,22,56.9
193,Dani García,es ESP,MF,Athletic Club,11,0,0,61,37,0,5,52,30,0,2,0,202,61,48,56
194,David García,es ESP,DF,Osasuna,7,0,0,52,14,0,1,48,16,0,0,0,150,161,51,75.9
195,Javi García,es ESP,MF,Betis,2,0,0,3,5,0,0,4,2,0,0,1,10,20,11,64.5
196,Manu García,es ESP,MF,Alavés,11,1,1,60,38,3,4,28,23,0,3,0,110,73,57,56.2
197,Raúl García,es ESP,"DF,MF",Valladolid,2,0,0,7,7,1,56,8,12,0,0,0,49,15,13,53.6
198,Raúl García,es ESP,"MF,FW",Athletic Club,11,0,0,77,60,18,34,24,37,2,0,0,94,205,148,58.1
199,Raúl García,es ESP,DF,Getafe,0,0,0,3,4,0,30,4,3,0,0,0,17,4,3,57.1
200,Rubén García,es ESP,"MF,FW",Osasuna,6,0,0,45,26,7,145,11,30,0,0,0,131,26,66,28.3
201,Unai García,es ESP,DF,Osasuna,0,0,0,4,3,0,3,8,6,0,0,0,31,22,17,56.4
202,Víctor García,es ESP,"FW,MF",Valladolid,0,0,0,0,0,0,2,0,0,0,0,0,7,1,2,33.3
203,Manuel Garrido,es ESP,FW,Leganés,1,0,0,4,0,0,0,1,0,0,0,0,2,8,6,57.1
204,Mario Gaspar,es ESP,DF,Villarreal,2,0,0,34,11,0,28,26,20,0,0,0,70,41,44,48.2
205,José Antonio Martínez Gil,es ESP,DF,Granada,0,0,0,4,7,0,1,20,15,,,0,,,,
206,Ibai Gómez,es ESP,FW,Athletic Club,0,0,0,3,3,5,91,3,3,0,0,0,33,1,6,14.3
207,Maxi Gómez,uy URU,FW,Valencia,5,0,0,47,59,32,10,5,7,0,0,0,38,86,79,52.1
208,Moi Gómez,es ESP,"FW,MF",Villarreal,1,0,0,22,25,9,78,25,22,3,0,0,146,13,28,31.7
209,Sergi Gómez,es ESP,DF,Sevilla,4,0,0,7,0,0,1,7,7,0,0,0,36,17,23,42.5
