,,,,,Performance,,,,,,,,,Performance,,,,Aerial Duels,,
236,John Guidetti,se SWE,"FW,MF",Alavés,2,0,0,9,3,3,4,0,1,1,0,0,7,1,6,14.3
237,Hugo Guillamón,es ESP,"MF,DF",Valencia,11,2,1,71,63,2,6,30,27,0,0,1,169,48,39,55.2
238,Gerard Gumbau,es ESP,MF,Elche,8,1,0,50,22,0,93,23,19,0,0,0,104,15,22,40.5
239,Jon Guridi,es ESP,MF,Real Sociedad,0,0,0,4,3,0,3,3,3,0,0,0,9,1,12,7.7
240,Raúl Guti,es ESP,MF,Elche,4,1,1,16,34,0,9,25,15,0,0,0,106,9,17,34.6
241,Marcos Mauro López Gutiérrez,ar ARG,DF,Cádiz,1,0,0,1,1,0,0,1,0,0,0,0,5,4,1,80
242,Miguel Gutiérrez,es ESP,DF,Real Madrid,1,0,0,3,8,0,9,2,5,0,0,0,14,2,2,50
243,Munir El Haddadi,ma MAR,"FW,MF",Sevilla,3,0,0,7,13,3,6,5,4,0,0,0,23,8,16,33.3
244,Varazdat Haroyan,am ARM,DF,Cádiz,9,0,0,22,6,1,1,15,21,0,0,0,68,29,19,60.4
245,Eden Hazard,be BEL,"FW,MF",Real Madrid,3,0,0,9,30,4,12,2,3,0,0,0,24,1,6,14.3
246,Kike Hermoso,es ESP,DF,Betis,0,0,0,1,0,0,0,0,1,0,0,0,5,6,2,75
247,Mario Hermoso,es ESP,DF,Atlético Madrid,6,1,0,26,11,1,24,29,15,0,0,1,126,49,22,69
248,Aridane Hernández,gq EQG,DF,Osasuna,1,0,0,5,4,3,1,20,9,0,0,1,67,22,20,52.4
249,Luis Hernández,es ESP,DF,Cádiz,5,0,0,9,7,1,9,16,5,0,0,0,68,14,17,45.2
250,Mario Hernández,es ESP,"DF,FW",Rayo Vallecano,3,0,0,4,4,1,15,4,4,0,0,0,20,2,5,28.6
251,Héctor Herrera,mx MEX,MF,Atlético Madrid,4,0,0,19,8,1,10,12,8,0,1,0,73,23,23,50
252,Sergio Herrera,es ESP,GK,Osasuna,3,0,0,0,11,0,0,1,2,0,0,0,50,5,0,100
253,Yangel Herrera,ve VEN,MF,Espanyol,7,1,1,44,34,1,9,19,31,0,0,0,128,55,60,47.8
254,Matthew Hoppe,us USA,"FW,MF",Mallorca,0,0,0,4,1,2,0,0,0,0,0,0,6,2,10,16.7
255,Robert Ibáñez,es ESP,"MF,FW",Osasuna,0,0,0,0,5,1,0,1,3,0,0,0,8,0,2,0
256,Vicente Iborra,es ESP,MF,Villarreal,4,0,0,19,10,0,0,11,10,0,0,0,69,26,15,63.4
257,Oussama Idrissi,ma MAR,"MF,FW",Sevilla,1,0,0,4,4,2,4,1,0,1,0,0,6,0,1,0
258,Oussama Idrissi,ma MAR,MF,Cádiz,2,0,0,10,3,2,45,3,4,0,0,0,48,0,8,0
259,Iglesias,es ESP,DF,Getafe,1,0,0,16,17,1,46,10,10,0,0,0,51,10,14,41.7
260,Borja Iglesias,es ESP,FW,Betis,4,0,0,25,31,8,6,4,4,2,0,0,33,20,27,42.6
261,Asier Illarramendi,es ESP,MF,Real Sociedad,1,0,0,4,1,0,5,4,5,0,0,0,37,12,7,63.2
262,Nikita Iosifov,ru RUS,MF,Villarreal,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
263,Alexander Isak,se SWE,FW,Real Sociedad,6,0,0,32,30,15,17,3,4,0,0,0,56,28,34,45.2
264,Isco,es ESP,"MF,FW",Real Madrid,1,0,0,7,8,0,8,2,5,0,0,0,19,4,1,80
265,Nicolas Jackson,sn SEN,"FW,MF",Villarreal,1,0,0,2,5,1,1,1,0,1,0,0,6,13,6,68.4
266,Jakub Jankto,cz CZE,"DF,MF",Getafe,1,1,0,3,7,0,27,4,7,0,0,0,38,2,3,40
267,Adnan Januzaj,be BEL,"FW,MF",Real Sociedad,5,0,0,28,51,4,146,12,11,1,0,0,93,10,19,34.5
268,Jason,es ESP,"MF,FW",Alavés,1,0,0,13,13,0,61,7,7,0,1,0,37,9,16,36
269,Jason,es ESP,"MF,DF",Valencia,2,0,0,3,4,0,7,1,1,0,0,0,7,0,2,0
270,Luis Javier Suárez,co COL,FW,Granada,6,0,0,40,36,5,38,6,14,0,0,0,86,55,115,32.4
271,Álvaro Jiménez,es ESP,"MF,FW",Cádiz,0,0,0,4,7,0,23,3,3,0,0,0,9,2,3,40
272,Joaquín,es ESP,"FW,MF",Betis,0,0,0,1,9,0,36,3,2,0,0,0,30,3,12,20
273,Jofre,es ESP,"MF,DF",Espanyol,0,0,0,0,4,0,3,0,1,1,0,0,0,1,0,100
274,Frenkie de Jong,nl NED,MF,Barcelona,7,1,1,24,35,6,31,20,19,0,0,0,154,25,15,62.5
275,Luuk de Jong,nl NED,FW,Barcelona,1,0,0,8,12,6,1,0,7,0,0,0,23,33,18,64.7
276,Joan Jordán,es ESP,MF,Sevilla,9,0,0,54,26,1,23,30,30,0,0,0,185,11,23,32.4
277,Josan,es ESP,"DF,MF",Elche,2,0,0,14,30,4,74,10,22,0,0,0,60,3,16,15.8
278,Willian José,br BRA,FW,Betis,2,0,0,12,23,7,7,3,13,0,0,0,64,22,34,39.3
279,Joselu,es ESP,FW,Alavés,0,0,0,43,57,11,31,7,11,2,0,0,87,281,132,68
280,Josema,es ESP,DF,Elche,0,0,0,3,4,0,3,0,2,0,1,0,9,3,5,37.5
281,Luka Jovic,rs SRB,FW,Real Madrid,1,0,0,3,3,2,0,1,1,0,0,0,9,7,8,46.7
282,Miguel Juan Llambrich,es ESP,DF,Espanyol,0,0,0,0,1,0,1,0,2,0,0,0,6,0,2,0
283,José Juan Macías,mx MEX,"FW,MF",Getafe,1,0,0,1,11,4,3,1,0,1,0,0,5,4,6,40
284,Juanmi,es ESP,FW,Betis,5,0,0,40,15,18,4,9,25,1,0,0,106,32,37,46.4
285,Lago Junior,ci CIV,"FW,MF",Mallorca,0,0,0,5,7,0,5,2,2,0,0,0,6,4,10,28.6
286,Vinicius Júnior,br BRA,FW,Real Madrid,6,0,0,34,74,26,44,6,24,4,0,0,105,3,8,27.3
287,Jutglà,es ESP,FW,Barcelona,1,0,0,4,6,1,6,1,1,0,0,0,9,6,4,60
288,Jens Jønsson,dk DEN,MF,Cádiz,3,0,0,16,8,1,5,34,29,0,0,0,83,28,13,68.3
289,Lee Kangin,kr KOR,"MF,FW",Mallorca,4,1,1,23,36,1,73,5,6,0,0,1,77,16,39,29.1
290,Kike,es ESP,FW,Osasuna,2,0,0,23,36,9,21,3,7,1,0,0,68,75,107,41.2
291,Koba Koindredi,fr FRA,MF,Valencia,1,0,0,8,6,0,2,4,3,0,0,0,8,5,7,41.7
292,Koke,es ESP,MF,Atlético Madrid,6,0,0,29,27,0,33,24,30,0,0,0,169,12,26,31.6
293,Luca Koleosho,ca CAN,FW,Espanyol,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
294,Geoffrey Kondogbia,cf CTA,"MF,DF",Atlético Madrid,13,2,2,40,37,0,1,44,44,0,0,0,188,38,21,64.4
295,Jules Koundé,fr FRA,DF,Sevilla,2,2,0,15,28,2,18,21,17,1,0,0,199,77,49,61.1
296,Toni Kroos,de GER,MF,Real Madrid,4,0,0,20,39,0,86,12,26,0,0,0,125,8,10,44.4
297,Takefusa Kubo,jp JPN,"FW,MF",Mallorca,4,0,0,17,47,5,51,8,19,0,0,0,101,11,14,44
298,Víctor Laguardia,es ESP,DF,Alavés,9,0,0,21,6,4,3,27,16,0,0,0,171,62,47,56.9
299,Diego Lainez,mx MEX,FW,Betis,0,0,0,4,1,0,2,1,1,0,0,0,10,0,2,0
300,Érik Lamela,ar ARG,"FW,MF",Sevilla,5,0,0,21,13,5,15,5,18,0,0,0,54,10,12,45.5
301,Latasa,es ESP,FW,Real Madrid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
302,Toni Lato,es ESP,DF,Valencia,5,0,0,14,6,1,19,8,12,0,0,0,52,4,19,17.4
303,Robin Le Normand,fr FRA,DF,Real Sociedad,6,0,0,37,22,2,1,48,32,0,0,0,155,107,66,61.8
304,Jeremías Ledesma,ar ARG,GK,Cádiz,4,0,0,2,7,0,0,1,1,0,2,0,39,13,1,92.9
305,Wu Lei,cn CHN,"FW,MF",Espanyol,0,0,0,5,5,5,4,4,2,0,0,0,16,8,22,26.7
306,Florian Lejeune,fr FRA,DF,Alavés,9,1,1,34,5,2,3,31,24,0,2,0,164,71,43,62.3
307,Iñigo Lekue,es ESP,DF,Athletic Club,3,0,0,19,9,0,66,23,23,0,0,0,144,18,17,51.4
308,Thomas Lemar,fr FRA,MF,Atlético Madrid,2,0,0,11,21,2,90,8,14,0,2,0,71,12,10,54.5
309,Ruben Lendinez,es ESP,DF,Valencia,2,0,0,2,0,0,0,2,3,0,0,0,8,0,1,0
310,Clément Lenglet,fr FRA,DF,Barcelona,4,0,0,19,4,0,1,13,11,0,1,0,60,16,25,39
311,Javier Llabrés,,"FW,MF",Mallorca,0,0,0,0,0,1,4,0,1,0,0,0,9,1,1,50
312,Marcos Llorente,es ESP,"MF,DF",Atlético Madrid,5,0,0,30,16,7,71,27,23,0,1,0,174,18,23,43.9
313,Giovani Lo Celso,ar ARG,"FW,MF",Villarreal,3,0,0,16,42,3,15,5,12,0,0,0,61,3,6,33.3
314,Julen Lobete,es ESP,"FW,MF",Real Sociedad,0,0,0,9,11,5,0,1,3,0,0,0,16,4,8,33.3
315,Renan Lodi,br BRA,DF,Atlético Madrid,4,0,0,21,21,3,48,13,18,0,1,0,64,28,21,57.1
316,David López,es ESP,"MF,DF",Espanyol,1,0,0,9,6,0,0,10,13,0,0,0,56,21,17,55.3
317,Diego López,es ESP,GK,Espanyol,4,0,0,0,6,0,0,1,0,0,0,0,49,10,0,100
318,Javi López,es ESP,DF,Alavés,2,0,0,6,12,0,14,4,6,0,0,0,13,0,6,0
319,Unai López,es ESP,MF,Rayo Vallecano,5,0,0,26,17,5,62,10,9,0,0,0,76,8,22,26.7
320,Anthony Lozano,hn HON,"FW,MF",Cádiz,8,0,0,43,38,9,26,2,4,4,0,0,64,44,75,37
321,Florentino Luís,pt POR,MF,Getafe,2,0,0,18,2,0,2,21,25,0,0,0,70,17,22,43.6
322,José Luis Gayà,es ESP,DF,Valencia,8,2,1,34,21,4,94,19,21,1,1,0,111,8,15,34.8
323,José Luis Morales,es ESP,"FW,MF",Levante,7,0,0,28,40,15,121,4,17,1,0,0,132,16,31,34
324,Luismi,es ESP,"FW,MF",Sevilla,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
325,Andriy Lunin,ua UKR,GK,Real Madrid,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,
326,Darwin Machís,ve VEN,"MF,FW",Granada,2,0,0,20,30,6,66,15,13,0,0,0,85,12,18,40
327,Pablo Maffeo,es ESP,DF,Mallorca,10,0,0,32,59,3,109,46,47,3,0,0,170,59,57,50.9
328,Nemanja Maksimovi?,rs SRB,MF,Getafe,5,0,0,13,13,0,13,71,32,0,0,0,143,47,42,52.8
329,Hugo Mallo,es ESP,DF,Celta Vigo,5,2,1,38,4,6,73,20,25,0,1,0,97,41,28,59.4
330,Mickael Malsa,mq MTQ,MF,Levante,7,0,0,19,15,0,0,18,17,0,0,0,99,10,20,33.3
331,Giorgi Mamardashvili,ge GEO,GK,Valencia,2,0,0,0,2,0,0,0,0,0,0,0,29,6,0,100
332,Reinildo Mandava,mz MOZ,DF,Atlético Madrid,5,0,0,26,20,0,16,21,25,0,1,0,88,22,26,45.8
333,Aïssa Mandi,dz ALG,DF,Villarreal,3,0,0,14,5,1,0,13,5,0,0,1,54,26,21,55.3
334,Maranhão,br BRA,"FW,MF",Valencia,3,0,0,23,22,4,3,7,11,1,0,0,34,41,51,44.6
335,Nikola Maraš,rs SRB,DF,Rayo Vallecano,4,0,0,11,4,0,0,15,9,0,0,0,37,29,27,51.8
336,Marcelo,br BRA,DF,Real Madrid,0,0,0,3,8,0,29,1,4,0,0,0,32,3,4,42.9
337,Iván Marcone,ar ARG,MF,Elche,5,0,0,12,4,0,1,12,14,0,0,0,59,6,3,66.7
338,Óscar de Marcos,es ESP,DF,Athletic Club,5,0,0,25,8,3,48,19,37,0,0,0,120,22,16,57.9
339,José Mari,es ESP,MF,Cádiz,3,1,1,8,7,0,1,7,7,0,0,0,25,4,7,36.4
340,José María Giménez,uy URU,DF,Atlético Madrid,7,0,0,11,21,2,1,25,12,0,0,0,99,41,24,63.1
341,Mariano,do DOM,FW,Real Madrid,2,0,0,2,0,4,1,1,0,0,0,0,4,9,4,69.2
342,Mika Màrmol,es ESP,DF,Barcelona,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
343,Roger Martí,es ESP,FW,Levante,8,0,0,62,28,12,10,2,14,1,0,0,49,29,54,34.9
344,Anthony Martial,fr FRA,"FW,MF",Sevilla,1,0,0,5,11,0,6,0,1,0,0,0,7,6,9,40
345,Martín,es ESP,MF,Cádiz,1,0,0,4,1,0,3,1,2,0,0,0,5,6,5,54.5
346,Ander Martin,es ESP,"FW,MF",Real Sociedad,0,0,0,4,0,0,5,3,0,0,0,0,4,2,2,50
347,Andrés Martín,es ESP,"FW,MF",Rayo Vallecano,0,0,0,3,2,3,2,0,0,0,0,0,3,2,2,50
348,Carlos Martín,es ESP,DF,Atlético Madrid,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50
349,Iván Martín,es ESP,"MF,FW",Alavés,0,0,0,2,1,0,3,1,1,0,0,0,6,3,3,50
350,Iñigo Martínez,es ESP,DF,Athletic Club,9,2,1,33,27,2,11,39,13,0,1,0,175,69,46,60
351,Javi Martínez,es ESP,"MF,FW",Osasuna,1,0,0,15,9,0,31,9,14,0,0,0,62,9,16,36
352,Pablo Martínez,es ESP,MF,Levante,2,0,0,11,9,1,14,15,8,0,0,0,46,11,12,47.8
353,Omar Mascarell,es ESP,MF,Elche,6,0,0,37,22,0,5,48,26,0,0,0,172,42,39,51.9
354,Jaime Mata,es ESP,FW,Getafe,7,0,0,25,17,9,10,1,5,0,0,0,21,25,54,31.6
355,Luís Maximiano,pt POR,GK,Granada,2,0,0,0,3,0,0,1,1,0,0,1,50,6,1,85.7
356,Borja Mayoral,es ESP,FW,Getafe,3,0,0,13,20,4,7,4,5,0,0,0,47,21,30,41.2
357,Jordi Mboula,es ESP,FW,Mallorca,2,0,0,6,9,5,12,3,2,0,1,0,20,10,9,52.6
358,Óscar Melendo,es ESP,"MF,FW",Espanyol,0,0,0,9,37,0,4,1,5,0,0,0,56,6,15,28.6
359,Gonzalo Melero,es ESP,MF,Levante,5,0,0,20,27,2,3,7,16,0,0,0,96,25,31,44.6
360,Tomás Mendes,es ESP,MF,Alavés,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
361,Brais Méndez,es ESP,MF,Celta Vigo,8,0,0,75,54,9,41,37,35,0,0,0,199,45,50,47.4
362,Édgar Méndez,es ESP,"FW,MF",Alavés,6,0,0,50,31,15,59,4,14,0,0,0,73,34,37,47.9
363,Ferland Mendy,fr FRA,DF,Real Madrid,4,0,0,15,24,3,28,18,14,1,1,0,98,11,13,45.8
364,Fran Mérida,es ESP,MF,Espanyol,2,1,0,6,6,0,8,6,3,0,0,0,29,0,4,0
365,Mikel Merino,es ESP,MF,Real Sociedad,8,0,0,60,67,4,23,21,38,2,1,0,287,109,83,56.8
366,Martín Merquelanz,es ESP,"FW,MF",Rayo Vallecano,0,0,0,2,2,0,12,0,1,0,0,0,7,3,4,42.9
367,Matt Miazga,us USA,DF,Alavés,2,0,0,6,2,0,0,11,7,0,0,0,35,32,8,80
368,Miguel,es ESP,"FW,MF",Alavés,2,0,0,19,20,5,6,1,3,1,0,0,32,14,41,25.5
369,Éder Militão,br BRA,DF,Real Madrid,5,0,0,38,39,1,11,52,32,1,0,0,204,83,38,68.6
370,Luis Milla,es ESP,MF,Granada,4,0,0,26,64,1,132,25,29,0,0,0,217,30,30,50
371,Pere Milla,es ESP,"MF,FW",Elche,4,0,0,17,50,9,13,5,15,0,1,0,104,31,43,41.9
372,Santi Mina,es ESP,FW,Celta Vigo,4,0,0,53,39,10,12,6,17,2,0,0,105,126,154,45
373,Óscar Mingueza,es ESP,DF,Barcelona,2,0,0,12,4,1,32,9,11,0,0,0,45,9,6,60
374,Rafa Mir,es ESP,FW,Sevilla,6,0,0,32,18,23,9,0,3,0,0,0,49,58,52,52.7
375,Jorge Miramón,es ESP,DF,Levante,5,0,0,31,23,0,49,35,19,0,0,0,147,18,23,43.9
376,Juan Miranda,es ESP,DF,Betis,3,0,0,13,13,0,28,15,11,0,0,0,36,12,18,40
377,Stefan Mitrovi?,rs SRB,DF,Getafe,8,1,0,18,4,0,0,22,8,0,0,0,106,56,30,65.1
378,Luka Modric,hr CRO,MF,Real Madrid,4,0,0,24,32,1,48,20,10,0,0,0,123,6,14,30
379,Johan Mojica,co COL,DF,Elche,4,1,0,32,50,4,158,25,25,0,0,0,234,28,21,57.1
380,Jorge Molina,es ESP,FW,Granada,2,0,0,19,39,11,9,6,2,0,0,0,47,89,93,48.9
381,Jon Moncayola,es ESP,MF,Osasuna,2,0,0,20,15,1,98,20,20,0,0,0,207,18,21,46.2
382,Monchu,es ESP,MF,Granada,3,1,0,29,11,0,6,4,6,0,0,0,35,10,8,55.6
383,Gonzalo Montiel,ar ARG,DF,Sevilla,7,0,0,9,12,4,33,10,4,0,0,0,68,10,7,58.8
384,Ángel Montoro,es ESP,MF,Granada,5,0,0,29,18,2,45,11,13,0,0,0,83,8,18,30.8
385,Martín Montoya,es ESP,DF,Betis,2,0,0,8,10,0,13,11,12,0,0,0,27,10,6,62.5
386,Jon Morcillo,es ESP,"MF,FW",Athletic Club,2,0,0,2,1,0,7,0,0,0,0,0,4,0,0,
387,Alberto Moreno,es ESP,"MF,DF",Villarreal,3,0,0,20,21,6,47,27,7,0,2,0,65,7,10,41.2
388,Álex Moreno,es ESP,DF,Betis,3,1,0,33,38,3,84,34,40,1,0,0,145,24,34,41.4
389,Gerard Moreno,es ESP,FW,Villarreal,2,0,0,11,14,8,12,6,2,1,0,0,33,18,18,50
390,Tete Morente,es ESP,MF,Elche,4,0,0,32,22,8,74,12,14,0,0,0,90,22,21,51.2
391,Ilaix Moriba,gn GUI,MF,Valencia,9,1,1,21,25,0,3,12,18,0,0,0,51,14,21,40
392,Manu Morlanes,es ESP,MF,Espanyol,6,1,0,13,11,0,6,13,15,0,0,0,78,17,24,41.5
393,Loren Morón,es ESP,"FW,MF",Espanyol,0,0,0,10,15,7,5,2,4,0,0,0,15,19,29,39.6
394,Loren Morón,es ESP,FW,Betis,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
395,Cristhian Mosquera,co COL,DF,Valencia,1,0,0,4,0,0,0,3,2,0,0,0,12,1,3,25
396,Toni Moya,es ESP,MF,Alavés,2,0,0,27,10,0,81,20,10,0,1,0,99,10,20,33.3
397,Iker Muniain,es ESP,MF,Athletic Club,3,0,0,15,81,5,173,17,10,2,0,0,159,5,9,35.7
398,Aihen Muñoz,es ESP,DF,Real Sociedad,4,1,1,27,14,0,39,17,17,0,0,0,80,25,22,53.2
399,Jeison Murillo,co COL,DF,Celta Vigo,5,1,0,13,13,0,1,17,10,0,1,0,61,31,33,48.4
400,Vedat Muriqi,xk KVX,FW,Mallorca,6,0,0,27,16,7,7,6,3,0,0,0,42,116,98,54.2
401,Yunus Musah,us USA,"MF,FW",Valencia,5,0,0,24,16,0,29,14,13,0,1,0,50,16,21,43.2
402,Shkodran Mustafi,de GER,DF,Levante,1,0,0,3,4,3,0,15,6,0,0,0,27,24,7,77.4
403,Nacho,es ESP,DF,Real Madrid,7,0,0,15,13,0,11,34,14,0,0,0,95,28,19,59.6
404,Roberto Navarro,es ESP,"MF,FW",Real Sociedad,0,0,0,3,2,1,2,2,3,0,0,0,15,1,6,14.3
405,Ximo Navarro,es ESP,DF,Alavés,4,1,0,16,25,2,29,22,19,0,2,0,79,9,23,28.1
406,Jesús Navas,es ESP,DF,Sevilla,4,0,0,5,10,2,112,17,13,0,0,0,106,13,19,40.6
407,Loum Ndiaye,sn SEN,MF,Alavés,10,0,0,50,22,1,4,37,22,0,0,0,160,100,42,70.4
408,Álvaro Negredo,es ESP,FW,Cádiz,3,0,0,16,34,11,15,2,3,1,1,0,40,114,111,50.7
409,Neto,br BRA,GK,Barcelona,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
410,Carlos Neva,es ESP,DF,Granada,1,0,0,8,22,0,84,32,19,0,0,0,111,20,31,39.2
411,Saúl Ñíguez,es ESP,"FW,MF",Atlético Madrid,0,0,0,2,2,1,5,0,2,0,0,0,12,6,3,66.7
412,Fernando Niño,es ESP,FW,Mallorca,2,0,0,18,19,3,1,3,4,1,0,0,31,46,52,46.9
413,Peru Nolaskoain,es ESP,DF,Athletic Club,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
414,Nolito,es ESP,MF,Celta Vigo,2,0,0,21,11,6,18,9,15,0,1,0,75,12,13,48
415,Randy Ntekja,fr FRA,"FW,MF",Rayo Vallecano,2,0,0,41,24,3,9,8,13,2,0,0,56,61,67,47.7
416,Unai Núñez,es ESP,DF,Athletic Club,2,0,0,10,7,0,1,8,4,0,1,0,46,12,11,52.2
417,Allan Nyom,cm CMR,DF,Getafe,1,0,0,1,3,0,3,2,1,0,0,0,12,4,2,66.7
418,Jan Oblak,si SVN,GK,Atlético Madrid,2,0,0,0,7,0,0,1,0,0,0,1,39,7,0,100
419,Lucas Ocampos,ar ARG,FW,Sevilla,7,0,0,45,41,2,63,9,24,0,1,0,114,27,30,47.4
420,Lucas Olaza,uy URU,DF,Elche,1,0,0,3,4,0,16,4,3,0,0,0,25,1,2,33.3
421,Oier Olazábal,es ESP,GK,Espanyol,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100
422,Brian Oliván,es ESP,DF,Mallorca,7,0,0,31,7,4,73,28,20,1,1,0,113,21,36,36.8
423,Mathías Olivera,uy URU,DF,Getafe,10,0,0,55,46,3,63,55,47,0,0,0,195,111,111,50
424,Javier Ontiveros,es ESP,"FW,MF",Osasuna,0,0,0,1,1,0,3,1,0,0,0,0,2,1,0,100
425,Pedro Ortiz,es ESP,MF,Sevilla,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
426,Milutin Osmaji?,me MNE,"FW,MF",Cádiz,0,0,0,3,7,5,2,1,1,0,0,0,9,12,22,35.3
427,Jesús Owono,gq EQG,GK,Alavés,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
428,Mikel Oyarzabal,es ESP,"FW,MF",Real Sociedad,0,1,0,14,26,5,110,10,10,0,0,0,86,22,35,38.6
429,Fernando Pacheco,es ESP,GK,Alavés,1,0,0,0,2,0,0,0,1,0,0,0,26,4,0,100
430,Jon Pacheco,es ESP,DF,Real Sociedad,1,0,0,3,1,0,0,6,4,0,0,0,18,12,11,52.2
431,Helibelton Palacios,co COL,DF,Elche,6,0,0,28,30,0,37,18,38,0,1,0,115,25,22,53.2
432,Isaac Palazón Camacho,es ESP,"FW,MF",Rayo Vallecano,7,0,0,32,69,5,70,13,28,0,0,0,161,46,72,39
433,Daniel Parejo,es ESP,MF,Villarreal,3,0,0,16,56,0,143,29,29,0,0,0,192,16,18,47.1
434,Raúl Parra,es ESP,DF,Cádiz,0,0,0,0,1,0,0,0,1,0,0,0,6,0,0,
435,Javier Pastore,ar ARG,"MF,FW",Elche,2,1,0,7,5,1,8,4,3,0,0,0,26,4,6,40
436,Gabriel Paulista,br BRA,DF,Valencia,2,0,0,11,12,1,0,39,12,0,0,0,125,38,19,66.7
437,Alfonso Pedraza,es ESP,DF,Villarreal,2,0,0,35,26,2,101,31,16,0,0,0,119,14,14,50
438,Pedri,es ESP,MF,Barcelona,0,0,0,1,17,0,18,5,12,0,0,0,63,4,3,57.1
439,Pedrosa,es ESP,DF,Espanyol,8,0,0,19,45,0,115,25,30,0,0,1,163,17,20,45.9
440,Facundo Pellistri,uy URU,"MF,FW",Alavés,0,0,0,8,20,3,13,6,5,0,0,0,33,8,18,30.8
441,Rubén Peña,es ESP,"MF,FW",Villarreal,1,0,0,8,4,0,6,5,0,0,0,0,11,3,5,37.5
442,Alberto Perea,es ESP,MF,Cádiz,2,0,0,7,20,0,48,9,9,0,0,0,54,2,9,18.2
443,Victor Perea,es ESP,DF,Espanyol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
444,Iñigo Pérez,es ESP,MF,Osasuna,0,0,0,0,3,0,31,0,2,0,0,0,22,2,11,15.4
445,Juan Pérez,es ESP,GK,Osasuna,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
446,Kike Pérez,es ESP,"MF,FW",Elche,1,0,0,17,6,1,7,3,6,0,0,0,39,14,11,56
447,Lucas Pérez,es ESP,FW,Elche,0,0,0,5,15,10,45,3,1,1,0,0,41,2,10,16.7
448,Lucas Pérez,es ESP,"FW,MF",Cádiz,1,0,0,4,9,10,67,0,3,0,0,0,34,1,11,8.3
449,Njegoš Petrovi?,rs SRB,MF,Granada,5,0,0,11,14,1,5,9,11,0,0,0,57,10,20,33.3
450,Alex Petxa,es ESP,"DF,MF",Athletic Club,4,0,0,11,12,0,13,4,9,0,0,0,28,6,8,42.9
451,Germán Pezzella,ar ARG,DF,Betis,5,1,0,26,6,2,1,39,9,0,0,1,82,58,30,65.9
452,Pablo Piatti,ar ARG,"MF,FW",Elche,0,0,0,8,8,1,3,2,4,0,0,0,17,7,7,50
453,Cristiano Piccini,it ITA,DF,Valencia,1,0,0,10,3,0,8,1,8,0,0,0,25,2,1,66.7
454,Tomás Pina Isla,es ESP,MF,Alavés,4,0,0,39,29,0,5,22,16,0,0,0,105,31,24,56.4
455,Orbelín Pineda,mx MEX,"MF,FW",Celta Vigo,0,0,0,2,4,0,0,0,1,0,0,0,12,1,3,25
456,Yeremi Pino,es ESP,"MF,FW",Villarreal,2,0,0,29,34,10,15,6,14,0,0,0,83,16,27,37.2
457,Gerard Piqué,es ESP,DF,Barcelona,10,1,1,30,15,1,0,34,12,0,0,0,165,80,42,65.6
458,Ezequiel Ponce,ar ARG,FW,Elche,1,1,0,14,11,6,6,1,4,0,0,0,29,17,25,40.5
459,Pere Pons,es ESP,MF,Alavés,2,0,0,25,17,2,8,6,18,0,0,0,64,17,33,34
460,Portu,es ESP,"FW,MF",Real Sociedad,5,0,0,19,25,11,35,7,7,1,0,0,62,14,37,27.5
461,Sergio Postigo,es ESP,DF,Levante,3,0,0,5,3,0,0,7,7,0,0,0,49,12,12,50
462,Darío Poveda,es ESP,"FW,MF",Getafe,0,0,0,3,2,2,5,1,0,0,0,0,15,12,14,46.2
463,José Pozo,es ESP,"MF,DF",Rayo Vallecano,0,0,0,3,2,0,2,0,2,0,0,0,8,0,1,0
464,Abdón Prats,es ESP,FW,Mallorca,3,0,0,8,15,2,2,1,2,0,0,0,21,31,30,50.8
465,Alejandro Primo,es ESP,GK,Levante,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
466,Javi Puado,es ESP,"MF,FW",Espanyol,5,0,0,23,25,6,18,11,14,0,0,0,91,13,35,27.1
467,Pubill,es ESP,"DF,MF",Levante,1,0,0,11,8,0,15,4,6,0,0,0,24,5,3,62.5
468,Antonio Puertas,es ESP,"MF,FW",Granada,4,0,0,44,30,9,42,11,20,0,1,0,114,48,74,39.3
469,Riqui Puig,es ESP,MF,Barcelona,0,0,0,9,10,0,1,3,3,0,0,0,42,1,3,25
470,Yacine Qasmi,ma MAR,FW,Rayo Vallecano,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50
471,Quini,es ESP,DF,Granada,11,0,0,39,13,1,72,36,34,0,0,0,135,26,34,43.3
